level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.4999999980921018,14,2.500000009539491,1.25,12.242803778311448
A,A (train visuals),1,10001,1.0,0.5999999816841647,20,3.7500001144739743,2.25,13.25940497064405
A,A (train visuals),2,10002,1.0,0.705490331463814,50,8.750001016696082,6.173041117577629,16.08405655811741
A,A (train visuals),3,10003,1.0,0.500000056106192,16,2.9999996633628854,1.5,12.652886326746568
A,A (train visuals),4,10004,0.0,0.0,200,3.000000436281016,0.0,-1.908022297276549
A,A (train visuals),5,10005,0.0,0.0,200,2.250000201185951,0.0,-2.2025490362260807
A,A (train visuals),6,10006,1.0,1.0,14,1.7499998602999007,0.0,11.180729387736786
A,A (train visuals),7,10007,1.0,1.0,10,1.2500004511110894,0.0,11.044643988514146
A,A (train visuals),8,10008,1.0,0.6000001153554984,19,3.7499992790282737,2.25,13.382073754314558
A,A (train visuals),9,10009,1.0,0.7070611834134681,43,7.250001232712135,5.126194451350545,14.539052051821947
A,A (train visuals),10,10010,1.0,0.47488944731184035,30,4.249999691981357,2.0182800048005185,13.199288384999344
A,A (train visuals),11,10011,1.0,0.5953268353225659,40,6.750000894378832,4.0184566708750395,14.256571509702937
A,A (train visuals),12,10012,0.0,0.0,200,3.0000005490587593,0.0,-1.2236027088235724
A,A (train visuals),13,10013,0.0,0.0,200,2.250000451111092,0.0,-1.4913942747015398
A,A (train visuals),14,10014,1.0,1.0,15,1.7499994473468314,0.0,11.025216065218684
A,A (train visuals),15,10015,1.0,0.6560384669315158,39,6.500000602046825,4.264250430020729,15.2354257172958
A,A (train visuals),16,10016,1.0,0.5939177361389123,29,5.49999956966408,3.2665472931798827,14.471556878495019
A,A (train visuals),17,10017,1.0,0.7245243987278506,53,8.000000963523105,5.7961958879188025,15.964769330394786
A,A (train visuals),18,10018,1.0,0.6231916252780241,38,6.250000527427044,3.8949479866757675,13.980725839619222
A,A (train visuals),19,10019,1.0,0.4748893088833517,25,4.250000930840652,2.0182800048005185,13.136358189336354
A,A (train visuals),20,10020,1.0,0.6363636363636364,18,2.75,1.75,12.56419105039889
A,A (train visuals),21,10021,1.0,1.0,16,1.749999925380205,0.0,10.98548846217427
A,A (train visuals),22,10022,1.0,0.6592927034138103,43,6.750000752982574,4.450226244479136,14.186231990493223
A,A (train visuals),23,10023,1.0,0.3333333333333333,9,1.5,0.5,11.405338072256814
A,A (train visuals),24,10024,1.0,0.5624998677590696,24,4.000000940380171,2.25,13.185264077845261
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,2.250000573428353,1.25,-2.0697567149504206
L1,B_L1 (materials + lighting),1,10001,0.0,0.0,200,7.500001129473869,2.25,-0.9635048553474811
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,6.249997944102825,6.173041117577629,-2.2747123485758287
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,2.99999986983942,1.5,-1.9680703290007389
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,5.000000714824598,0.0,-2.4863152258909524
L1,B_L1 (materials + lighting),5,10005,1.0,1.0,4,0.0,0.0,9.96
L1,B_L1 (materials + lighting),6,10006,0.0,0.0,200,3.5000003955703045,0.0,-3.4088825805584895
L1,B_L1 (materials + lighting),7,10007,0.0,0.0,200,8.75000137410845,0.0,-3.8911648531684975
L1,B_L1 (materials + lighting),8,10008,0.0,0.0,200,2.250000338333317,2.25,-0.829878576786738
L1,B_L1 (materials + lighting),9,10009,0.0,0.0,200,5.2499999175369885,5.126194451350545,-3.80743629609532
L1,B_L1 (materials + lighting),10,10010,0.0,0.0,200,4.7499996078221,2.0182800048005185,-2.5402224488996286
L1,B_L1 (materials + lighting),11,10011,0.0,0.0,200,8.750001416786187,4.0184566708750395,-0.641230405348959
L1,B_L1 (materials + lighting),12,10012,0.0,0.0,200,4.000000066776436,0.0,-1.9841779138533708
L1,B_L1 (materials + lighting),13,10013,0.0,0.0,200,5.000000114473974,0.0,-3.737969717269171
L1,B_L1 (materials + lighting),14,10014,0.0,0.0,200,2.5000002827925325,0.0,-3.019303032659638
L1,B_L1 (materials + lighting),15,10015,0.0,0.0,200,8.25000097853816,4.264250430020729,0.16505779209692367
L1,B_L1 (materials + lighting),16,10016,0.0,0.0,200,9.500002209554138,3.2665472931798827,0.026508776258656552
L1,B_L1 (materials + lighting),17,10017,0.0,0.0,200,5.499997627216324,5.7961958879188025,-1.9826048874506375
L1,B_L1 (materials + lighting),18,10018,0.0,0.0,200,10.500001299488657,3.8949479866757675,-1.661740117753551
L1,B_L1 (materials + lighting),19,10019,0.0,0.0,200,2.5000000572369876,2.0182800048005185,-2.64923000762888
L1,B_L1 (materials + lighting),20,10020,0.0,0.0,200,0.7500002350950356,1.75,-1.8733958436337463
L1,B_L1 (materials + lighting),21,10021,0.0,0.0,200,0.49999991584071424,0.0,-1.6478997848069716
L1,B_L1 (materials + lighting),22,10022,0.0,0.0,200,11.00000015432823,4.450226244479136,-3.454355464931216
L1,B_L1 (materials + lighting),23,10023,0.0,0.0,200,2.2500006020468537,0.5,-2.2249540035737225
L1,B_L1 (materials + lighting),24,10024,0.0,0.0,200,5.500000752982589,2.25,-0.4844508033697414
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0,10000,0.0,0.0,200,2.000000479729562,1.25,-2.1038298280458867
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",1,10001,0.0,0.0,200,0.25,2.25,-2.093029855686486
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",2,10002,0.0,0.0,200,4.999999147171648,6.173041117577629,-2.1577834555324173
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",3,10003,0.0,0.0,200,4.250000326426189,1.5,0.018345852521214873
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",4,10004,0.0,0.0,200,3.2500005052400613,0.0,-2.597700350008716
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",5,10005,1.0,1.0,4,0.0,0.0,9.96
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",6,10006,0.0,0.0,200,3.7500004892690812,0.0,-3.0771750499453843
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",7,10007,0.0,0.0,200,0.7499997189036703,0.0,-1.4989626273254522
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",8,10008,0.0,0.0,200,4.999999730139349,2.25,-1.0803130642310492
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",9,10009,0.0,0.0,200,3.9999992885679787,5.126194451350545,-3.615837663097466
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",10,10010,0.0,0.0,200,4.750000301871527,2.0182800048005185,-2.278346434725767
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",11,10011,0.0,0.0,200,7.000000603743053,4.0184566708750395,-1.3146902719429285
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",12,10012,0.0,0.0,200,0.5000001223172632,0.0,-2.3152867143341056
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",13,10013,0.0,0.0,200,3.0000004988085442,0.0,-2.103662028084616
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",14,10014,0.0,0.0,200,1.7499999635382109,0.0,-2.6322586846296883
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",15,10015,0.0,0.0,200,8.750000603743052,4.264250430020729,0.20996913154186458
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",16,10016,0.0,0.0,200,5.750001316871477,3.2665472931798827,-1.2942536762563195
