level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.625,8,2.0,1.25,11.889206501980878
A,A (train visuals),1,10001,1.0,0.6428571941755379,15,3.4999997205998716,2.25,13.171644603003923
A,A (train visuals),2,10002,1.0,0.7716300407129058,45,8.000001026235815,6.173041117577629,15.850302346810226
A,A (train visuals),3,10003,1.0,0.6000001257683466,11,2.4999994759653323,1.5,12.224200144724593
A,A (train visuals),4,10004,1.0,1.0,11,0.7500002255555447,0.0,10.26550199825197
A,A (train visuals),5,10005,1.0,1.0,52,1.0,0.0,9.48
A,A (train visuals),6,10006,1.0,1.0,11,1.2500001413962591,0.0,10.94428466503576
A,A (train visuals),7,10007,1.0,1.0,6,0.750000338333317,0.0,10.624205381914756
A,A (train visuals),8,10008,1.0,0.6428572148898266,19,3.499999607822099,2.25,13.169702130848894
A,A (train visuals),9,10009,1.0,0.7594360911587019,48,6.750001100855381,5.126194451350545,14.19308247743295
A,A (train visuals),10,10010,1.0,0.5766515194250967,19,3.4999994568863353,2.0182800048005185,12.901112726344413
A,A (train visuals),11,10011,1.0,0.6697426703158837,38,6.00000096899864,4.0184566708750395,13.963629218429144
A,A (train visuals),12,10012,1.0,1.0,14,2.250000170014717,0.0,10.862766061893907
A,A (train visuals),13,10013,0.0,0.0,200,0.2500000095394908,0.0,-2.0447421230415297
A,A (train visuals),14,10014,1.0,1.0,9,1.0,0.0,10.837197224485765
A,A (train visuals),15,10015,1.0,0.7107084548473815,34,5.999999579203599,4.264250430020729,14.968875414726522
A,A (train visuals),16,10016,1.0,0.6533094768894527,28,4.999999860299928,3.2665472931798827,14.179204929734425
A,A (train visuals),17,10017,1.0,0.7728260475053114,37,7.500000687902497,5.7961958879188025,15.952408369619373
A,A (train visuals),18,10018,1.0,0.6773821599323109,45,5.750000837141887,3.8949479866757675,13.713706437998251
A,A (train visuals),19,10019,1.0,0.5766512812951264,19,3.5000009022221796,2.0182800048005185,12.901113761638413
A,A (train visuals),20,10020,1.0,0.7,15,2.5,1.75,12.34565967450849
A,A (train visuals),21,10021,1.0,1.0,8,0.75,0.0,10.651891068277031
A,A (train visuals),22,10022,1.0,0.6138242378987013,71,7.2500008466813775,4.450226244479136,13.527909985315215
A,A (train visuals),23,10023,1.0,0.4,6,1.25,0.5,11.186806696366414
A,A (train visuals),24,10024,1.0,0.6428568528572874,19,3.500001578888814,2.25,13.131646741521298
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,7.500001097747395,1.25,-2.4621256611696056
L1,B_L1 (materials + lighting),1,10001,0.0,0.0,200,3.7500004146492723,2.25,-1.9476113843225258
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,0.5,6.173041117577629,-2.4999556240984266
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,6.5000005686930065,1.5,-1.4093158410515603
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,0.9999999253802193,0.0,-1.8667668138071003
L1,B_L1 (materials + lighting),5,10005,0.0,0.0,200,5.249999382266541,0.0,-4.508170484173697
