level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.72,0.5518935496474282,82.64,9.09888522190891,25,0.0,0.0,0.0,0.0
F_objall,F_objall,1.0,0.6665186977188762,67.64,12.048187145725624,25,-0.28,-0.38888888888888895,-0.11462514807144797,-0.20769430652827003
F_clut,F_clut,0.88,0.6667401395067972,66.24,10.881896705325182,25,-0.16000000000000003,-0.22222222222222227,-0.11484658985936902,-0.20809554656461857
F_obj,F_obj,0.52,0.35219619788962014,128.96,6.567339394729386,25,0.19999999999999996,0.27777777777777773,0.19969735175780806,0.36184034382243235
F_tgt,F_tgt,1.0,0.667864698216591,64.56,12.08155885990445,25,-0.28,-0.38888888888888895,-0.1159711485691628,-0.21013318355188212
F_mat,F_mat,0.28,0.17410002801713811,178.48,1.7883065007588888,25,0.43999999999999995,0.611111111111111,0.3777935216302901,0.6845405637946662
F_light,F_light,0.6,0.4465279835759865,105.56,7.638371346505369,25,0.12,0.16666666666666666,0.10536556607144171,0.1909164659357832
F_sky,F_sky,0.76,0.5561077996249552,78.32,9.532422603560827,25,-0.040000000000000036,-0.05555555555555561,-0.0042142499775269515,-0.007635983388860377
L1,B_L1 (materials + lighting),0.04,0.04,192.12,-1.9196492622776395,25,0.6799999999999999,0.9444444444444444,0.5118935496474282,0.9275222549247882
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.0,0.0,200.0,-2.5575284407059766,25,0.72,1.0,0.5518935496474282,1.0
L2,B_L2 (+ object appearance),0.04,0.011428571241675288,193.68,-1.9099806531453123,25,0.6799999999999999,0.9444444444444444,0.5404649784057529,0.9792920731742991
L3,B_L3 (+ distractors),0.0,0.0,200.0,-2.6837046762481207,25,0.72,1.0,0.5518935496474282,1.0
