level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.6609305606635997,22.88,13.75800094644711,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.88,0.6048725806176365,43.52,12.118449648480578,25,0.12,0.12,0.056057980045963185,0.08481674684505255
F_clut,F_clut,0.96,0.6263793520749631,29.76,13.248456850559188,25,0.040000000000000036,0.040000000000000036,0.034551208588636584,0.05227660914021867
F_obj,F_obj,0.72,0.4438245999650931,72.36,10.35307368875403,25,0.28,0.28,0.21710596069850657,0.328485280632997
F_tgt,F_tgt,1.0,0.6944467161435668,22.04,13.62449610084979,25,0.0,0.0,-0.033516155479967114,-0.05071055489750029
F_mat,F_mat,0.72,0.4376155717746065,73.28,9.26653813270958,25,0.28,0.28,0.22331498888899315,0.33787965359746164
F_light,F_light,1.0,0.6634230548406539,22.88,13.763431938152756,25,0.0,0.0,-0.0024924941770542164,-0.003771189176895764
F_sky,F_sky,0.92,0.6288504513653765,37.12,12.553540061977717,25,0.07999999999999996,0.07999999999999996,0.032080109298223136,0.04853779081725843
L1,B_L1 (materials + lighting),0.6,0.38571029158120423,95.68,7.603824543485928,25,0.4,0.4,0.27522026908239544,0.4164132897804933
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.28,0.16965614059558348,151.2,3.4300371825954494,25,0.72,0.72,0.4912744200680162,0.7433071631227913
L2,B_L2 (+ object appearance),0.36,0.2511562704567266,136.16,4.229667543321949,25,0.64,0.64,0.40977429020687306,0.6199959792984061
L3,B_L3 (+ distractors),0.28,0.19526841469082443,149.92,3.1659783888541284,25,0.72,0.72,0.4656621459727752,0.7045553250030269
