level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.7192518991474828,9.84,10.823937508276595,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.84,0.6097510581073796,41.68,8.882583169172173,25,0.16000000000000003,0.16000000000000003,0.10950084104010316,0.1522426860045732
F_clut,F_clut,0.96,0.7112518991474828,17.24,10.321439923727164,25,0.040000000000000036,0.040000000000000036,0.008000000000000007,0.011122667885176631
F_obj,F_obj,0.96,0.7112518991474828,17.2,10.313880424434824,25,0.040000000000000036,0.040000000000000036,0.008000000000000007,0.011122667885176631
F_tgt,F_tgt,0.88,0.5880686817713233,35.04,9.374930451616724,25,0.12,0.12,0.13118321737615946,0.18238841987299403
F_mat,F_mat,0.2,0.13777777376790323,160.96,0.2709697351969333,25,0.8,0.8,0.5814741253795795,0.8084429475525766
F_light,F_light,1.0,0.7192518991474828,9.84,10.823937508276595,25,0.0,0.0,0.0,0.0
F_sky,F_sky,0.92,0.6712518991474827,24.84,9.796606705674645,25,0.07999999999999996,0.07999999999999996,0.04800000000000004,0.06673600731105978
L1,B_L1 (materials + lighting),0.16,0.12888888487901434,168.52,-0.20004690650501666,25,0.84,0.84,0.5903630142684684,0.820801467424995
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.28,0.18777777376790325,146.56,1.3841597202039508,25,0.72,0.72,0.5314741253795795,0.7389262732702226
L2,B_L2 (+ object appearance),0.16,0.16,169.12,-0.12976226479744973,25,0.84,0.84,0.5592518991474827,0.7775466422964675
L3,B_L3 (+ distractors),0.16,0.16,169.12,-0.12976226479744973,25,0.84,0.84,0.5592518991474827,0.7775466422964675
