level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.84,0.6072238942477971,49.8,10.534018973880245,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.84,0.6182780504557457,49.8,10.533202661007012,25,0.0,0.0,-0.011054156207948584,-0.018204415723202062
F_clut,F_clut,0.84,0.6072238942477971,49.8,10.534018973880245,25,0.0,0.0,0.0,0.0
F_obj,F_obj,0.84,0.6103633217020403,50.08,10.528955843273504,25,0.0,0.0,-0.0031394274542432266,-0.00517013161699148
F_tgt,F_tgt,0.84,0.6126647848443578,49.6,10.543924772053838,25,0.0,0.0,-0.005440890596560721,-0.008960270911770794
F_mat,F_mat,0.04,0.04,192.16,-0.7474396921944045,25,0.7999999999999999,0.9523809523809523,0.5672238942477971,0.9341264393925895
F_light,F_light,0.8,0.5822718684431254,56.32,9.878977101744683,25,0.039999999999999925,0.04761904761904753,0.024952025804671707,0.04109196960304272
F_sky,F_sky,0.84,0.6061852417300452,49.84,10.534364709402498,25,0.0,0.0,0.0010386525177519257,0.001710493489454271
L1,B_L1 (materials + lighting),0.04,0.04,192.16,-0.7093019360527337,25,0.7999999999999999,0.9523809523809523,0.5672238942477971,0.9341264393925895
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.04,0.04,192.16,-0.925937145494348,25,0.7999999999999999,0.9523809523809523,0.5672238942477971,0.9341264393925895
L2,B_L2 (+ object appearance),0.04,0.04,192.16,-0.8961536620067796,25,0.7999999999999999,0.9523809523809523,0.5672238942477971,0.9341264393925895
L3,B_L3 (+ distractors),0.04,0.04,192.16,-0.7378725185780476,25,0.7999999999999999,0.9523809523809523,0.5672238942477971,0.9341264393925895
