level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.88,0.6562272553216544,29.28,9.389019562709123,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.56,0.45504664875809353,91.32,5.20522439620361,25,0.31999999999999995,0.3636363636363636,0.20118060656356085,0.3065715496150046
F_clut,F_clut,0.92,0.694394759231659,21.72,9.900075906247228,25,-0.040000000000000036,-0.0454545454545455,-0.038167503910004674,-0.05816202176987697
F_obj,F_obj,0.76,0.5602272631305028,52.56,7.92083255098177,25,0.12,0.13636363636363635,0.09599999219115163,0.14629077261366805
F_tgt,F_tgt,0.92,0.657823341309809,22.48,9.860302927905684,25,-0.040000000000000036,-0.0454545454545455,-0.0015960859881546385,-0.0024322153266436728
F_mat,F_mat,0.4,0.32285714775242697,121.64,3.03399052044391,25,0.48,0.5454545454545454,0.3333701075692274,0.508010151766439
F_light,F_light,0.92,0.700227260940487,21.68,9.88907608509021,25,-0.040000000000000036,-0.0454545454545455,-0.04400000561883266,-0.06704995146424655
F_sky,F_sky,0.92,0.6962272551662672,21.64,9.890562296040304,25,-0.040000000000000036,-0.0454545454545455,-0.03999999984461278,-0.060954493310410425
L1,B_L1 (materials + lighting),0.32,0.3,136.72,1.882434579140108,25,0.56,0.6363636363636365,0.3562272553216544,0.5428412983960063
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.28,0.28,144.48,1.3651027226722636,25,0.6,0.6818181818181818,0.37622725532165435,0.5733185451696058
L2,B_L2 (+ object appearance),0.2,0.2,160.28,0.39719999999999894,25,0.6799999999999999,0.7727272727272727,0.45622725532165437,0.6952275322640041
L3,B_L3 (+ distractors),0.2,0.2,160.28,0.39719999999999894,25,0.6799999999999999,0.7727272727272727,0.45622725532165437,0.6952275322640041
