level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.88,0.6567618987978016,30.56,9.268920524891517,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.96,0.7384285645883485,15.04,10.247277199064989,25,-0.07999999999999996,-0.09090909090909087,-0.08166666579054693,-0.12434744759103297
F_clut,F_clut,0.88,0.6567618987978016,30.56,9.268920524891517,25,0.0,0.0,0.0,0.0
F_obj,F_obj,0.96,0.7384285645883485,15.04,10.247277199064989,25,-0.07999999999999996,-0.09090909090909087,-0.08166666579054693,-0.12434744759103297
F_mat,F_mat,0.08,0.08,184.48,-1.0357760960321947,25,0.8,0.9090909090909092,0.5767618987978016,0.8781902541142544
F_light,F_light,0.2,0.2,160.84,0.7887845216779703,25,0.6799999999999999,0.7727272727272727,0.45676189879780155,0.6954756352856359
F_sky,F_sky,0.6,0.5390476146188299,83.48,5.6725505010666275,25,0.28,0.31818181818181823,0.11771428417897167,0.17923433803703734
L1,B_L1 (materials + lighting),0.04,0.04,192.04,-1.520400000000001,25,0.84,0.9545454545454545,0.6167618987978015,0.9390951270571272
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.04,0.04,192.04,-1.520400000000001,25,0.84,0.9545454545454545,0.6167618987978015,0.9390951270571272
L2,B_L2 (+ object appearance),0.04,0.04,192.04,-1.520400000000001,25,0.84,0.9545454545454545,0.6167618987978015,0.9390951270571272
L3,B_L3 (+ distractors),0.04,0.04,192.04,-1.520400000000001,25,0.84,0.9545454545454545,0.6167618987978015,0.9390951270571272
