level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.7636032666063122,25.12,12.521257987505134,25,0.0,0.0,0.0,0.0
F_objall,F_objall,1.0,0.7409965393634885,36.2,12.435054332928878,25,0.0,0.0,0.022606727242823643,0.029605330714855233
F_clut,F_clut,0.96,0.7277093163491317,33.8,12.039180672086154,25,0.040000000000000036,0.040000000000000036,0.03589395025718045,0.047006019783943837
F_obj,F_obj,1.0,0.7611974315799408,26.44,12.53822413239984,25,0.0,0.0,0.0024058350263713724,0.0031506348015817734
F_tgt,F_tgt,0.92,0.6858333091807276,43.04,11.346139563045613,25,0.07999999999999996,0.07999999999999996,0.07776995742558457,0.10184602505855977
F_mat,F_mat,0.48,0.3772142785974186,138.36,4.174088246588096,25,0.52,0.52,0.3863889880088936,0.5060075105835065
F_light,F_light,0.96,0.7165482532934745,34.36,12.01668588792546,25,0.040000000000000036,0.040000000000000036,0.04705501331283768,0.06162233108557096
F_sky,F_sky,0.92,0.6850636611823663,49.64,11.287123670471656,25,0.07999999999999996,0.07999999999999996,0.07853960542394589,0.102853941121808
L1,B_L1 (materials + lighting),0.24,0.16517646295041616,172.36,1.0897500857086966,25,0.76,0.76,0.598426803655896,0.7836881137445741
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.24,0.18094155316100058,166.76,0.7014874829791614,25,0.76,0.76,0.5826617134453116,0.7630424579439523
L2,B_L2 (+ object appearance),0.04,0.04,199.76,-1.891945189948587,25,0.96,0.96,0.7236032666063121,0.9476167772595154
L3,B_L3 (+ distractors),0.08,0.05037036866441417,198.24,-1.3957326152070937,25,0.92,0.92,0.713232897941898,0.9340359439682919
