level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.8256746381094227,83,8.500000934164193,7.018235195245775,16.398494725309614
A,A (train visuals),1,10001,1.0,0.2651650627315175,30,3.999999701520826,1.0606601717798212,11.340870582104893
A,A (train visuals),2,10002,1.0,0.5242707512754127,56,8.249999697762803,4.325233539568032,14.221434188001757
A,A (train visuals),3,10003,1.0,0.5609827550698488,47,6.250000295140905,3.5061423847555133,13.092025294405154
A,A (train visuals),4,10004,1.0,0.6388767290688566,8,1.7499995505852834,1.118033988749895,11.530552381046379
A,A (train visuals),5,10005,1.0,0.4358959803670647,45,5.750000095394927,2.506401928692887,12.101179657443819
A,A (train visuals),6,10006,1.0,0.3774843581556518,46,6.000000098203842,2.264906186004325,12.021785813733588
A,A (train visuals),7,10007,1.0,0.1666666652946226,24,1.5000000123483967,0.25,10.051006095705073
A,A (train visuals),8,10008,1.0,0.24956706108824706,34,4.250000649744283,1.0606601717798212,11.41224568384323
A,A (train visuals),9,10009,1.0,0.4615383957612407,43,6.500000926362659,3.0,12.87614135091238
A,A (train visuals),10,10010,1.0,0.43478251645752036,44,5.750001219849552,2.5,12.629243808283242
A,A (train visuals),11,10011,1.0,0.5470903041120055,65,8.500002238172588,4.650268809434569,14.586617386645518
A,A (train visuals),12,10012,1.0,0.2549509310479375,43,5.000000875299839,1.2747548783981961,11.40255280361025
A,A (train visuals),13,10013,1.0,0.18601634999320102,41,4.24999961063095,0.7905694150420949,10.997840485891157
A,A (train visuals),14,10014,0.0,0.0,200,5.999999957322249,4.5069390943299865,2.663890277261136
A,A (train visuals),15,10015,1.0,0.5487016716504234,52,7.7500005605506255,4.252438262865846,14.426297991112413
A,A (train visuals),16,10016,1.0,0.7985953695505872,22,3.5000014756505324,2.7950849718747373,13.140574353965171
A,A (train visuals),17,10017,1.0,0.6124177322770912,54,9.000001099186276,5.511760263654987,15.558140904395806
A,A (train visuals),18,10018,0.0,0.0,200,5.499999580899748,2.57390753524675,0.7443098020084364
A,A (train visuals),19,10019,1.0,0.43478266792009385,46,5.749999216756866,2.5,12.661615146168081
A,A (train visuals),20,10020,0.0,0.0,200,6.249999776140714,4.873202507837043,2.8239526959922054
A,A (train visuals),21,10021,1.0,0.1428571397422067,26,1.7500000381579686,0.25,9.99022209903402
A,A (train visuals),22,10022,1.0,0.6392429763732952,52,8.250001912187708,5.273755777432247,15.261667536387648
A,A (train visuals),23,10023,0.0,0.0,200,8.249999704628934,6.333924730650377,4.1714944225313255
A,A (train visuals),24,10024,1.0,0.22329686700586443,41,4.75000023960016,1.0606601717798212,11.3256124010742
L1,B_L1 (materials + lighting),0,10000,1.0,0.8506952038681844,46,8.249999721796073,7.018235195245775,16.591384247961862
L1,B_L1 (materials + lighting),1,10001,1.0,0.32635697593225266,19,3.25,1.0606601717798212,11.474321592046946
L1,B_L1 (materials + lighting),2,10002,1.0,0.5766978123500992,43,7.499999907997376,4.325233539568032,14.3523359917534
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,3.5000008276023697,3.5061423847555133,-0.9030801806772986
L1,B_L1 (materials + lighting),4,10004,1.0,0.2981423550670828,28,3.7500005274270216,1.118033988749895,11.337711678919032
L1,B_L1 (materials + lighting),5,10005,1.0,0.8354671184634108,23,3.0000006862061257,2.506401928692887,12.368430699653352
L1,B_L1 (materials + lighting),6,10006,1.0,0.3938967214658394,42,5.750000095394927,2.264906186004325,12.023725394702243
L1,B_L1 (materials + lighting),7,10007,1.0,0.9999995488891141,3,0.25000011277777234,0.25,10.21027550528863
L1,B_L1 (materials + lighting),8,10008,0.0,0.0,200,1.749999812602447,1.0606601717798212,-1.510113811393949
L1,B_L1 (materials + lighting),9,10009,1.0,0.7499999788541681,27,4.000000112777773,3.0,13.109969576088154
