level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.9357645499955014,41,7.500001143748729,7.018235195245775,16.705342280650616
A,A (train visuals),1,10001,1.0,0.47140444990577324,14,2.2500003383333174,1.0606601717798212,11.5802646610279
A,A (train visuals),2,10002,1.0,0.7522145456481224,29,5.749999869839433,4.325233539568032,14.933946415289082
A,A (train visuals),3,10003,1.0,0.9349710776543654,22,3.750000902222179,3.5061423847555133,13.370341303250946
A,A (train visuals),4,10004,1.0,0.4969038848399964,11,2.2500004988085434,1.118033988749895,11.907332835051456
A,A (train visuals),5,10005,1.0,0.9114186588968328,16,2.7500006766666347,2.506401928692887,12.414172334736486
A,A (train visuals),6,10006,1.0,0.8236021367000842,15,2.750000376491366,2.264906186004325,12.380386779528013
A,A (train visuals),7,10007,1.0,0.9999995488891141,3,0.25000011277777234,0.25,10.21027550528863
A,A (train visuals),8,10008,1.0,0.3535533462233463,19,3.000000376491366,1.0606601717798212,11.661596408618351
A,A (train visuals),9,10009,1.0,0.7499999577083377,21,4.000000225555545,3.0,13.184544252984892
A,A (train visuals),10,10010,1.0,0.6666664885089604,21,3.750001002137366,2.5,13.212092360793863
A,A (train visuals),11,10011,1.0,0.8455032924108862,32,5.500000829298598,4.650268809434569,14.875411000032312
A,A (train visuals),12,10012,1.0,0.5665576101412335,15,2.2500004511110894,1.2747548783981961,11.88431636519307
A,A (train visuals),13,10013,1.0,0.31622782328420146,19,2.4999995472618215,0.7905694150420949,11.337574957803177
A,A (train visuals),14,10014,1.0,0.9013877847766372,24,5.000000189093755,4.5069390943299865,14.280503186216798
A,A (train visuals),15,10015,1.0,0.7731705182306527,32,5.500000533643286,4.252438262865846,14.811856855917789
A,A (train visuals),16,10016,1.0,0.7985953695505872,19,3.5000014756505324,2.7950849718747373,13.30997466027544
A,A (train visuals),17,10017,1.0,0.8165570416820312,33,6.750000284488731,5.511760263654987,15.74558570462471
A,A (train visuals),18,10018,1.0,0.7919716370901541,22,3.2499996397645607,2.57390753524675,12.997899244431824
A,A (train visuals),19,10019,1.0,0.7142858345132798,18,3.4999994108850285,2.5,13.246853332769655
A,A (train visuals),20,10020,1.0,0.8475133796374635,27,5.750000678362892,4.873202507837043,14.613133083806197
A,A (train visuals),21,10021,1.0,1.0,2,0.25,0.25,10.219862174229595
A,A (train visuals),22,10022,1.0,0.8789590207201552,29,6.000001880760396,5.273755777432247,15.540541571664711
A,A (train visuals),23,10023,0.0,0.0,200,0.0,6.333924730650377,-2.0000000000000013
A,A (train visuals),24,10024,1.0,0.6060913281313539,11,1.7500005734283526,1.0606601717798212,11.529276928382732
L1,B_L1 (materials + lighting),0,10000,1.0,0.8256745827304736,53,8.500001504269086,7.018235195245775,16.633721553964612
L1,B_L1 (materials + lighting),1,10001,1.0,0.4714045028031602,13,2.250000085855588,1.0606601717798212,11.694037920583519
L1,B_L1 (materials + lighting),2,10002,1.0,0.8238538482583649,27,5.250001014999952,4.325233539568032,14.70555614177328
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,0.0,3.5061423847555133,-2.0000000000000013
L1,B_L1 (materials + lighting),4,10004,1.0,0.6388765783110888,9,1.7499999635383245,1.118033988749895,11.55734911350514
L1,B_L1 (materials + lighting),5,10005,0.0,0.0,200,0.24999990630122346,2.506401928692887,-1.985489802329221
L1,B_L1 (materials + lighting),6,10006,0.0,0.0,200,2.2500010149999516,2.264906186004325,-2.842615950412399
L1,B_L1 (materials + lighting),7,10007,1.0,0.9999995488891141,3,0.25000011277777234,0.25,10.21027550528863
L1,B_L1 (materials + lighting),8,10008,1.0,0.4714045893222616,15,2.24999967290249,1.0606601717798212,11.67403753061927
L1,B_L1 (materials + lighting),9,10009,1.0,0.8,20,3.75,3.0,13.270069255031025
L1,B_L1 (materials + lighting),10,10010,0.0,0.0,200,0.25000011277777234,2.5,-2.2290348178455623
L1,B_L1 (materials + lighting),11,10011,0.0,0.0,200,4.000001804444358,4.650268809434569,1.7824026529728703
L1,B_L1 (materials + lighting),12,10012,0.0,0.0,200,1.2499999253802763,1.2747548783981961,-2.064286384459867
L1,B_L1 (materials + lighting),13,10013,0.0,0.0,200,0.750000338333317,0.7905694150420949,-1.7092329966827875
L1,B_L1 (materials + lighting),14,10014,0.0,0.0,200,4.250001133993671,4.5069390943299865,-1.4095151222374365
L1,B_L1 (materials + lighting),15,10015,1.0,0.6074911032268294,40,7.000000889359593,4.252438262865846,14.699392357246294
L1,B_L1 (materials + lighting),16,10016,1.0,0.6987711846537854,30,4.000000333813988,2.7950849718747373,13.341854069719044
L1,B_L1 (materials + lighting),17,10017,1.0,0.7349012248277584,40,7.50000146611104,5.511760263654987,15.884379272437506
L1,B_L1 (materials + lighting),18,10018,0.0,0.0,200,0.0,2.57390753524675,-2.0000000000000013
L1,B_L1 (materials + lighting),19,10019,1.0,0.7142856698546474,20,3.5000002177122416,2.5,13.054236735443565
L1,B_L1 (materials + lighting),20,10020,0.0,0.0,200,0.0,4.873202507837043,-2.0000000000000013
L1,B_L1 (materials + lighting),21,10021,1.0,1.0,2,0.25,0.25,10.219862174229595
L1,B_L1 (materials + lighting),22,10022,0.0,0.0,200,0.0,5.273755777432247,-2.0000000000000013
L1,B_L1 (materials + lighting),23,10023,0.0,0.0,200,3.25,6.333924730650377,1.248066789290899
L1,B_L1 (materials + lighting),24,10024,1.0,0.16970559380009825,38,6.250001240555496,1.0606601717798212,11.426314061002863
L2,B_L2 (+ object appearance),0,10000,1.0,0.7798037755556787,55,9.00000155839803,7.018235195245775,16.496729212150836
L2,B_L2 (+ object appearance),1,10001,0.0,0.0,200,1.7500006862061248,1.0606601717798212,-1.932136273379715
L2,B_L2 (+ object appearance),2,10002,1.0,0.8650465323091687,25,5.000001014999952,4.325233539568032,14.531719087241633
L2,B_L2 (+ object appearance),3,10003,0.0,0.0,200,1.2500001509357497,3.5061423847555133,-2.4601180714283637
L2,B_L2 (+ object appearance),4,10004,1.0,0.5590169495207379,12,2.0000001604753117,1.118033988749895,11.616097774196799
L2,B_L2 (+ object appearance),5,10005,0.0,0.0,200,0.24999990630122346,2.506401928692887,-1.9868687969788577
L2,B_L2 (+ object appearance),6,10006,0.0,0.0,200,0.0,2.264906186004325,-2.0000000000000013
L2,B_L2 (+ object appearance),7,10007,1.0,1.0,4,0.25,0.25,10.199222659509566
L2,B_L2 (+ object appearance),8,10008,0.0,0.0,200,1.7499996538233802,1.0606601717798212,-1.932136679772212
L2,B_L2 (+ object appearance),9,10009,1.0,0.8571428571428571,18,3.5,3.0,13.11992916356349
L2,B_L2 (+ object appearance),10,10010,0.0,0.0,200,0.25000011277777234,2.5,-2.2281736005419557
L2,B_L2 (+ object appearance),11,10011,1.0,0.8455030751328835,29,5.50000224269286,4.650268809434569,14.94036821590537
L2,B_L2 (+ object appearance),12,10012,0.0,0.0,200,1.2499999253802763,1.2747548783981961,-2.0816635506907115
L2,B_L2 (+ object appearance),13,10013,0.0,0.0,200,1.7500005829678433,0.7905694150420949,-1.6220166002807819
L2,B_L2 (+ object appearance),14,10014,0.0,0.0,200,4.750002055510433,4.5069390943299865,-1.4489802689913467
L2,B_L2 (+ object appearance),15,10015,1.0,0.5315547237653192,45,8.000000889359592,4.252438262865846,14.967604035581886
L2,B_L2 (+ object appearance),16,10016,1.0,0.657667000549716,31,4.250000333813988,2.7950849718747373,13.500772409945176
L2,B_L2 (+ object appearance),17,10017,1.0,0.7111947485382547,41,7.750001353333268,5.511760263654987,15.977774374285598
L2,B_L2 (+ object appearance),18,10018,1.0,0.5719794044225428,31,4.500000376491366,2.57390753524675,13.384871167079305
L2,B_L2 (+ object appearance),19,10019,0.0,0.0,200,2.7499997761408284,2.5,-0.7986626901612502
L2,B_L2 (+ object appearance),20,10020,0.0,0.0,200,0.0,4.873202507837043,-2.0000000000000013
L2,B_L2 (+ object appearance),21,10021,1.0,1.0,2,0.25,0.25,10.219222659509565
L2,B_L2 (+ object appearance),22,10022,0.0,0.0,200,4.000001691666586,5.273755777432247,0.5173819128571313
L2,B_L2 (+ object appearance),23,10023,0.0,0.0,200,3.75,6.333924730650377,1.7474365537467
L2,B_L2 (+ object appearance),24,10024,0.0,0.0,200,5.500000301871641,1.0606601717798212,-2.1708649062423495
L3,B_L3 (+ distractors),0,10000,1.0,0.7798037755556787,55,9.00000155839803,7.018235195245775,16.496729212150836
L3,B_L3 (+ distractors),1,10001,0.0,0.0,200,1.7500006862061248,1.0606601717798212,-1.932136273379715
L3,B_L3 (+ distractors),2,10002,0.0,0.0,200,4.000001014999952,4.325233539568032,1.865513944462227
L3,B_L3 (+ distractors),3,10003,0.0,0.0,200,1.2500001509357497,3.5061423847555133,-2.4601180714283637
L3,B_L3 (+ distractors),4,10004,1.0,0.5590169495207379,12,2.0000001604753117,1.118033988749895,11.616097774196799
L3,B_L3 (+ distractors),5,10005,0.0,0.0,200,0.24999990630122346,2.506401928692887,-1.9868687969788577
L3,B_L3 (+ distractors),6,10006,0.0,0.0,200,0.0,2.264906186004325,-2.0000000000000013
L3,B_L3 (+ distractors),7,10007,1.0,1.0,4,0.25,0.25,10.199222659509566
L3,B_L3 (+ distractors),8,10008,0.0,0.0,200,1.7499996538233802,1.0606601717798212,-1.932136679772212
L3,B_L3 (+ distractors),9,10009,1.0,0.8571428571428571,18,3.5,3.0,13.11992916356349
L3,B_L3 (+ distractors),10,10010,0.0,0.0,200,0.25000011277777234,2.5,-2.2281736005419557
L3,B_L3 (+ distractors),11,10011,1.0,0.8455030751328835,29,5.50000224269286,4.650268809434569,14.94036821590537
L3,B_L3 (+ distractors),12,10012,0.0,0.0,200,1.2499999253802763,1.2747548783981961,-2.0816635506907115
L3,B_L3 (+ distractors),13,10013,0.0,0.0,200,1.7500005829678433,0.7905694150420949,-1.6220166002807819
L3,B_L3 (+ distractors),14,10014,0.0,0.0,200,4.750002055510433,4.5069390943299865,-1.4489802689913467
L3,B_L3 (+ distractors),15,10015,1.0,0.5315547237653192,45,8.000000889359592,4.252438262865846,14.967604035581886
L3,B_L3 (+ distractors),16,10016,1.0,0.657667000549716,31,4.250000333813988,2.7950849718747373,13.500772409945176
L3,B_L3 (+ distractors),17,10017,1.0,0.7111947485382547,41,7.750001353333268,5.511760263654987,15.977774374285598
L3,B_L3 (+ distractors),18,10018,1.0,0.5719794044225428,31,4.500000376491366,2.57390753524675,13.384871167079305
L3,B_L3 (+ distractors),19,10019,0.0,0.0,200,2.7499997761408284,2.5,-0.7986626901612502
L3,B_L3 (+ distractors),20,10020,0.0,0.0,200,0.0,4.873202507837043,-2.0000000000000013
L3,B_L3 (+ distractors),21,10021,1.0,1.0,2,0.25,0.25,10.219222659509565
L3,B_L3 (+ distractors),22,10022,0.0,0.0,200,4.000001691666586,5.273755777432247,0.5173819128571313
L3,B_L3 (+ distractors),23,10023,0.0,0.0,200,3.75,6.333924730650377,1.7474365537467
L3,B_L3 (+ distractors),24,10024,0.0,0.0,200,5.500000301871641,1.0606601717798212,-2.1708649062423495
