level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.625,8,2.0,1.25,11.889206501980878
A,A (train visuals),1,10001,0.0,0.0,200,2.500000405109781,2.25,-0.09348014323608766
A,A (train visuals),2,10002,0.0,0.0,200,6.2500007911407796,6.173041117577629,2.2431784008058786
A,A (train visuals),3,10003,0.0,0.0,200,1.500000057236959,1.5,-0.9859663203384793
A,A (train visuals),4,10004,1.0,1.0,17,3.2500006306652995,0.0,10.256313447314358
A,A (train visuals),5,10005,1.0,1.0,3,0.0,0.0,9.97
A,A (train visuals),6,10006,1.0,1.0,26,4.500000505024533,0.0,10.594624898215766
A,A (train visuals),7,10007,1.0,1.0,10,1.7500002541740187,0.0,10.752305396762367
A,A (train visuals),8,10008,1.0,0.6428572805370074,17,3.4999992504097865,2.25,13.193906339724366
A,A (train visuals),9,10009,0.0,0.0,200,9.750000070168811,5.126194451350545,0.3062154473239185
A,A (train visuals),10,10010,1.0,0.4748894411057852,24,4.249999747522143,2.0182800048005185,12.875434604940967
A,A (train visuals),11,10011,0.0,0.0,200,0.0,4.0184566708750395,-2.0000000000000013
A,A (train visuals),12,10012,1.0,1.0,16,2.750000448743438,0.0,10.834632581344675
A,A (train visuals),13,10013,0.0,0.0,200,0.2500000095394908,0.0,-2.0447421230415297
A,A (train visuals),14,10014,1.0,1.0,29,5.000000959459153,0.0,10.5388067864595
A,A (train visuals),15,10015,1.0,0.6317407858571886,36,6.750000198633218,4.264250430020729,14.907526438532962
A,A (train visuals),16,10016,1.0,0.5680951432830741,35,5.750000386030772,3.2665472931798827,14.050734236249053
A,A (train visuals),17,10017,0.0,0.0,200,1.0000000381579774,5.7961958879188025,-1.630996624082791
A,A (train visuals),18,10018,0.0,0.0,200,0.0,3.8949479866757675,-2.0000000000000013
A,A (train visuals),19,10019,0.0,0.0,200,0.5,2.0182800048005185,-1.5506950558564152
A,A (train visuals),20,10020,0.0,0.0,200,0.5000002255555447,1.75,-2.4320424270023637
A,A (train visuals),21,10021,0.0,0.0,200,3.500000208172738,0.0,-2.686836375876825
A,A (train visuals),22,10022,0.0,0.0,200,0.5000000190789816,4.450226244479136,-1.7994323789260558
A,A (train visuals),23,10023,1.0,0.333333182963038,6,1.5000006766666343,0.5,11.109842571013443
A,A (train visuals),24,10024,0.0,0.0,200,2.5000004051097813,2.25,-0.343093503520903
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,0.25000011277777234,1.25,-1.7722685268055356
L1,B_L1 (materials + lighting),1,10001,0.0,0.0,200,1.5000003669517894,2.25,-0.9705102247216818
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,0.0,6.173041117577629,-2.0000000000000013
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,0.7500002350950356,1.5,-1.4125055585805075
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,4.24999956966408,0.0,-4.805946384560531
L1,B_L1 (materials + lighting),5,10005,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),6,10006,0.0,0.0,200,2.5,0.0,-4.260125173394319
L1,B_L1 (materials + lighting),7,10007,0.0,0.0,200,2.5000001127777725,0.0,-4.43923832993081
L1,B_L1 (materials + lighting),8,10008,0.0,0.0,200,1.7499997189036705,2.25,-0.48735379604428725
L1,B_L1 (materials + lighting),9,10009,0.0,0.0,200,0.5,5.126194451350545,-2.0288514057123983
L1,B_L1 (materials + lighting),10,10010,0.0,0.0,200,0.0,2.0182800048005185,-2.0000000000000013
L1,B_L1 (materials + lighting),11,10011,0.0,0.0,200,1.7500000151572994,4.0184566708750395,-2.833906416349251
L1,B_L1 (materials + lighting),12,10012,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),13,10013,0.0,0.0,200,0.5,0.0,-1.856394030560307
L1,B_L1 (materials + lighting),14,10014,0.0,0.0,200,2.5000001127777725,0.0,-4.402149372032301
L1,B_L1 (materials + lighting),15,10015,0.0,0.0,200,2.749998556360559,4.264250430020729,-3.4667635061664988
L1,B_L1 (materials + lighting),16,10016,0.0,0.0,200,1.2500005638888618,3.2665472931798827,-3.239244517596293
L1,B_L1 (materials + lighting),17,10017,0.0,0.0,200,1.2500000735070231,5.7961958879188025,-1.3614551208343806
L1,B_L1 (materials + lighting),18,10018,0.0,0.0,200,1.7500000151572994,3.8949479866757675,-2.8318459871705848
L1,B_L1 (materials + lighting),19,10019,0.0,0.0,200,5.750000489269081,2.0182800048005185,-1.9423714845863538
L1,B_L1 (materials + lighting),20,10020,0.0,0.0,200,0.25000011277777234,1.75,-2.2224543327097352
L1,B_L1 (materials + lighting),21,10021,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),22,10022,0.0,0.0,200,0.25000011277777234,4.450226244479136,-1.77639296832016
L1,B_L1 (materials + lighting),23,10023,0.0,0.0,200,0.0,0.5,-2.0000000000000013
L1,B_L1 (materials + lighting),24,10024,0.0,0.0,200,0.25,2.25,-2.2350395226750814
L2,B_L2 (+ object appearance),0,10000,0.0,0.0,200,0.0,1.25,-2.0000000000000013
L2,B_L2 (+ object appearance),1,10001,0.0,0.0,200,1.000000347872808,2.25,-1.2818183652437871
L2,B_L2 (+ object appearance),2,10002,0.0,0.0,200,0.0,6.173041117577629,-2.0000000000000013
L2,B_L2 (+ object appearance),3,10003,0.0,0.0,200,0.25000011277777234,1.5,-1.8204990766121272
L2,B_L2 (+ object appearance),4,10004,0.0,0.0,200,4.24999956966408,0.0,-4.812690718430356
L2,B_L2 (+ object appearance),5,10005,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L2,B_L2 (+ object appearance),6,10006,0.0,0.0,200,2.5,0.0,-4.262553338529489
L2,B_L2 (+ object appearance),7,10007,0.0,0.0,200,2.5000001127777725,0.0,-4.440257908292605
L2,B_L2 (+ object appearance),8,10008,0.0,0.0,200,0.5000002255555447,2.25,-1.5079295766910117
L2,B_L2 (+ object appearance),9,10009,0.0,0.0,200,0.5,5.126194451350545,-2.0289134711597443
L2,B_L2 (+ object appearance),10,10010,0.0,0.0,200,0.0,2.0182800048005185,-2.0000000000000013
L2,B_L2 (+ object appearance),11,10011,0.0,0.0,200,1.7500000151572994,4.0184566708750395,-2.8339080297011883
L2,B_L2 (+ object appearance),12,10012,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L2,B_L2 (+ object appearance),13,10013,0.0,0.0,200,0.25,0.0,-1.9151198171940222
L2,B_L2 (+ object appearance),14,10014,0.0,0.0,200,2.5000001127777725,0.0,-4.40362053818358
L2,B_L2 (+ object appearance),15,10015,0.0,0.0,200,2.2499985372816482,4.264250430020729,-3.511215461832709
L2,B_L2 (+ object appearance),16,10016,0.0,0.0,200,1.2500005638888618,3.2665472931798827,-3.2393214076886334
L2,B_L2 (+ object appearance),17,10017,0.0,0.0,200,1.2500000735070231,5.7961958879188025,-1.3614813993203412
L2,B_L2 (+ object appearance),18,10018,0.0,0.0,200,1.7500000151572994,3.8949479866757675,-2.8318438438004367
L2,B_L2 (+ object appearance),19,10019,0.0,0.0,200,5.750000489269081,2.0182800048005185,-1.9495042826656146
L2,B_L2 (+ object appearance),20,10020,0.0,0.0,200,0.25000011277777234,1.75,-2.222211681386374
L2,B_L2 (+ object appearance),21,10021,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L2,B_L2 (+ object appearance),22,10022,0.0,0.0,200,0.25000011277777234,4.450226244479136,-1.7763881599204194
L2,B_L2 (+ object appearance),23,10023,0.0,0.0,200,0.7500000286184725,0.5,-1.6807578412974276
L2,B_L2 (+ object appearance),24,10024,0.0,0.0,200,0.25,2.25,-2.235179747502416
L3,B_L3 (+ distractors),0,10000,0.0,0.0,200,0.0,1.25,-2.0000000000000013
L3,B_L3 (+ distractors),1,10001,0.0,0.0,200,1.000000347872808,2.25,-1.2818183652437871
L3,B_L3 (+ distractors),2,10002,0.0,0.0,200,0.0,6.173041117577629,-2.0000000000000013
L3,B_L3 (+ distractors),3,10003,0.0,0.0,200,0.25000011277777234,1.5,-1.8204990766121272
L3,B_L3 (+ distractors),4,10004,0.0,0.0,200,4.24999956966408,0.0,-4.812690718430356
L3,B_L3 (+ distractors),5,10005,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L3,B_L3 (+ distractors),6,10006,0.0,0.0,200,2.5,0.0,-4.262553338529489
L3,B_L3 (+ distractors),7,10007,0.0,0.0,200,2.5000001127777725,0.0,-4.440257908292605
L3,B_L3 (+ distractors),8,10008,0.0,0.0,200,0.5000002255555447,2.25,-1.5079295766910117
L3,B_L3 (+ distractors),9,10009,0.0,0.0,200,0.5,5.126194451350545,-2.0289134711597443
L3,B_L3 (+ distractors),10,10010,0.0,0.0,200,0.0,2.0182800048005185,-2.0000000000000013
L3,B_L3 (+ distractors),11,10011,0.0,0.0,200,1.7500000151572994,4.0184566708750395,-2.8339080297011883
L3,B_L3 (+ distractors),12,10012,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L3,B_L3 (+ distractors),13,10013,0.0,0.0,200,0.25,0.0,-1.9151198171940222
L3,B_L3 (+ distractors),14,10014,0.0,0.0,200,2.5000001127777725,0.0,-4.40362053818358
L3,B_L3 (+ distractors),15,10015,0.0,0.0,200,2.2499985372816482,4.264250430020729,-3.511215461832709
L3,B_L3 (+ distractors),16,10016,0.0,0.0,200,1.2500005638888618,3.2665472931798827,-3.2393214076886334
L3,B_L3 (+ distractors),17,10017,0.0,0.0,200,1.2500000735070231,5.7961958879188025,-1.3614813993203412
L3,B_L3 (+ distractors),18,10018,0.0,0.0,200,1.7500000151572994,3.8949479866757675,-2.8318438438004367
L3,B_L3 (+ distractors),19,10019,0.0,0.0,200,5.750000489269081,2.0182800048005185,-1.9495042826656146
L3,B_L3 (+ distractors),20,10020,0.0,0.0,200,0.25000011277777234,1.75,-2.222211681386374
L3,B_L3 (+ distractors),21,10021,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L3,B_L3 (+ distractors),22,10022,0.0,0.0,200,0.25000011277777234,4.450226244479136,-1.7763881599204194
L3,B_L3 (+ distractors),23,10023,0.0,0.0,200,0.7500000286184725,0.5,-1.6807578412974276
L3,B_L3 (+ distractors),24,10024,0.0,0.0,200,0.25,2.25,-2.235179747502416
