level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.33333326084904497,10,2.250000489269053,0.75,11.689528830695215
A,A (train visuals),1,10001,1.0,1.0,17,0.7500000584207963,0.0,9.889155646977862
A,A (train visuals),2,10002,1.0,1.0,7,0.7500001127777723,0.0,10.637810294677134
A,A (train visuals),3,10003,1.0,0.11111109808822335,20,2.250000263713508,0.25,11.636432295385934
A,A (train visuals),4,10004,1.0,1.0,14,1.2499997284431612,0.0,10.971063041312782
A,A (train visuals),5,10005,1.0,0.1111110823225831,37,2.2500005829678433,0.25,11.101759811928364
A,A (train visuals),6,10006,1.0,1.0,2,0.5000000190789816,0.0,10.266171444213466
A,A (train visuals),7,10007,1.0,0.19999999389472606,11,1.2500000381579632,0.25,11.031638672868311
A,A (train visuals),8,10008,1.0,1.0,4,0.2500000095394908,0.0,10.128897430619478
A,A (train visuals),9,10009,1.0,1.0,9,1.250000225555545,0.0,10.954483847964408
A,A (train visuals),10,10010,1.0,1.0,19,1.2500001318567682,0.0,10.68414949234265
A,A (train visuals),11,10011,1.0,1.0,1,0.24999990630122346,0.0,10.231136837492521
A,A (train visuals),12,10012,1.0,1.0,17,1.5000000095394908,0.0,10.756440855831247
A,A (train visuals),13,10013,1.0,1.0,1,0.2500000095394908,0.0,10.183130457407911
A,A (train visuals),14,10014,1.0,1.0,8,1.0000000095394908,0.0,10.807566282214324
A,A (train visuals),15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
A,A (train visuals),16,10016,1.0,1.0,3,0.25,0.0,10.06753352563738
A,A (train visuals),17,10017,1.0,1.0,13,1.0000004511110894,0.0,10.639227591851022
A,A (train visuals),18,10018,1.0,1.0,15,1.2499999444592151,0.0,10.942363406866972
A,A (train visuals),19,10019,1.0,1.0,51,1.2500001127777725,0.0,10.37411914894045
A,A (train visuals),20,10020,1.0,0.1999999984736815,8,1.2500000095394908,0.25,11.139475334466036
A,A (train visuals),21,10021,1.0,0.199999996947363,8,1.2500000190789815,0.25,11.12593694761946
A,A (train visuals),22,10022,1.0,1.0,17,0.25,0.0,9.92753352563738
A,A (train visuals),23,10023,1.0,0.19999999542104455,12,1.2500000286184723,0.25,11.03385163332589
A,A (train visuals),24,10024,1.0,1.0,2,0.2500000095394908,0.0,10.141240404515727
L1,B_L1 (materials + lighting),0,10000,1.0,0.2999999536763146,12,2.5000003860307713,0.75,11.76926701329345
L1,B_L1 (materials + lighting),1,10001,1.0,1.0,13,0.2500000095394908,0.0,10.031240404515728
L1,B_L1 (materials + lighting),2,10002,1.0,1.0,9,0.75,0.0,10.659844814152068
L1,B_L1 (materials + lighting),3,10003,1.0,0.12500000566192634,45,1.9999999094091827,0.25,11.14327774900763
L1,B_L1 (materials + lighting),4,10004,1.0,1.0,23,2.25000036695179,0.0,10.881105871657427
L1,B_L1 (materials + lighting),5,10005,1.0,0.1250000163760864,34,1.999999737982652,0.25,11.189267359418059
L1,B_L1 (materials + lighting),6,10006,1.0,1.0,91,4.749999698412861,0.0,9.486851862519213
L1,B_L1 (materials + lighting),7,10007,1.0,0.09090908659309435,71,2.750000130558902,0.25,10.382583987640274
L1,B_L1 (materials + lighting),8,10008,1.0,1.0,48,0.7499999837299244,0.0,9.659777213480243
L1,B_L1 (materials + lighting),9,10009,1.0,1.0,22,1.0000001318567682,0.0,10.721654080598462
L1,B_L1 (materials + lighting),10,10010,0.0,0.0,200,3.249999737982666,0.0,-1.2481559764922774
L1,B_L1 (materials + lighting),11,10011,1.0,1.0,34,1.250000225555545,0.0,9.958176579829175
L1,B_L1 (materials + lighting),12,10012,1.0,1.0,19,1.7499999253802194,0.0,10.775243320380632
L1,B_L1 (materials + lighting),13,10013,1.0,1.0,10,0.25,0.0,10.125597599195165
L1,B_L1 (materials + lighting),14,10014,1.0,1.0,14,1.0000000095394908,0.0,10.783244752900696
L1,B_L1 (materials + lighting),15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
L1,B_L1 (materials + lighting),16,10016,0.0,0.0,200,0.5000001127777723,0.0,-2.0898075736335158
L1,B_L1 (materials + lighting),17,10017,0.0,0.0,200,1.5000003574123129,0.0,-1.468137381529956
L1,B_L1 (materials + lighting),18,10018,0.0,0.0,200,3.499999456886336,0.0,-1.045575552579297
L1,B_L1 (materials + lighting),19,10019,1.0,1.0,90,2.00000046065058,0.0,9.994934683058993
L1,B_L1 (materials + lighting),20,10020,1.0,0.19999999542104455,11,1.2500000286184723,0.25,11.043851633325891
L1,B_L1 (materials + lighting),21,10021,1.0,0.1999999984736815,12,1.2500000095394908,0.25,11.025656781995558
L1,B_L1 (materials + lighting),22,10022,0.0,0.0,200,1.0000001127777725,0.0,-2.0898075736335158
L1,B_L1 (materials + lighting),23,10023,1.0,0.08333333434616201,49,2.9999999635381682,0.25,10.512761688528474
L1,B_L1 (materials + lighting),24,10024,1.0,1.0,1,0.25,0.0,10.029853713032566
L2,B_L2 (+ object appearance),0,10000,1.0,0.33333327897011417,32,2.2500003669517894,0.75,11.558733382183943
L2,B_L2 (+ object appearance),1,10001,1.0,1.0,34,0.7500000339801454,0.0,9.808545535030289
L2,B_L2 (+ object appearance),2,10002,1.0,1.0,100,1.2500001318567682,0.0,9.707810267995505
L2,B_L2 (+ object appearance),3,10003,1.0,0.12499998351790793,32,2.000000263713508,0.25,11.199525837880769
L2,B_L2 (+ object appearance),4,10004,1.0,1.0,32,1.4999997189036705,0.0,10.804234341460244
L2,B_L2 (+ object appearance),5,10005,0.0,0.0,200,5.000000227251718,0.25,-0.6170455130321584
L2,B_L2 (+ object appearance),6,10006,1.0,1.0,41,1.0000000381579632,0.0,10.010645331956047
L2,B_L2 (+ object appearance),7,10007,1.0,0.19999999236840765,18,1.250000047697454,0.25,10.90809942165406
L2,B_L2 (+ object appearance),8,10008,1.0,1.0,22,0.2500000095394908,0.0,10.018294804419742
L2,B_L2 (+ object appearance),9,10009,0.0,0.0,200,2.249999812602447,0.0,-1.220359998059151
L2,B_L2 (+ object appearance),10,10010,1.0,1.0,83,2.9999998602999147,0.0,10.109361404671109
L2,B_L2 (+ object appearance),11,10011,0.0,0.0,200,3.499999569664109,0.0,-1.8355282361696987
L2,B_L2 (+ object appearance),12,10012,1.0,1.0,41,2.7500006211258072,0.0,10.480617025413927
L2,B_L2 (+ object appearance),13,10013,1.0,1.0,9,0.2500000095394908,0.0,10.158108087164202
L2,B_L2 (+ object appearance),14,10014,1.0,1.0,30,1.5000000190789815,0.0,10.71195902841575
L2,B_L2 (+ object appearance),15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
L2,B_L2 (+ object appearance),16,10016,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L2,B_L2 (+ object appearance),17,10017,1.0,1.0,8,0.75,0.0,10.66984481415207
L2,B_L2 (+ object appearance),18,10018,1.0,1.0,129,1.4999997379826664,0.0,9.888648212172994
L2,B_L2 (+ object appearance),19,10019,1.0,1.0,106,1.2500001127777725,0.0,9.824119148940449
L2,B_L2 (+ object appearance),20,10020,1.0,0.2,11,1.25,0.25,11.10995882635266
L2,B_L2 (+ object appearance),21,10021,1.0,0.16666666136694971,17,1.500000047697454,0.25,10.929402708872946
