level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,0.0,0.0,200,9.749999941876153,7.018235195245775,5.355615321448658
A,A (train visuals),1,10001,1.0,0.5303301751542754,13,1.999999663363056,1.0606601717798212,11.522979344426801
A,A (train visuals),2,10002,0.0,0.0,200,6.7500019744590745,4.325233539568032,1.9619386195431794
A,A (train visuals),3,10003,1.0,0.7012284978812934,94,4.9999998507605525,3.5061423847555133,13.377519952385985
A,A (train visuals),4,10004,1.0,0.44721367077429114,16,2.499999579203756,1.118033988749895,12.215743309998198
A,A (train visuals),5,10005,1.0,0.7161146827059706,19,3.5000007529827317,2.506401928692887,13.214661804290792
A,A (train visuals),6,10006,1.0,0.6968941623488585,18,3.250000227251918,2.264906186004325,13.06981435461959
A,A (train visuals),7,10007,1.0,0.20000004650173525,12,1.2499997093642223,0.25,11.021146825976434
A,A (train visuals),8,10008,1.0,0.4242641751636757,40,2.4999993727272214,1.0606601717798212,11.743759624251723
A,A (train visuals),9,10009,1.0,0.631578896040234,27,4.750000386030772,3.0,13.819861507790522
A,A (train visuals),10,10010,1.0,0.6250000627683152,125,3.999999598282823,2.5,12.262050444613001
A,A (train visuals),11,10011,1.0,0.7154257502124909,35,6.500002003077716,4.650268809434569,15.708403704050822
A,A (train visuals),12,10012,0.0,0.0,200,2.7500000572370307,1.2747548783981961,0.2672528244451935
A,A (train visuals),13,10013,1.0,0.15811386753637185,37,5.000000489269137,0.7905694150420949,11.886966451105613
A,A (train visuals),14,10014,1.0,0.8194434780549075,26,5.499999957322249,4.5069390943299865,14.307730971669876
A,A (train visuals),15,10015,0.0,0.0,200,5.500001688343491,4.252438262865846,3.193060581218738
A,A (train visuals),16,10016,0.0,0.0,200,4.250001146856706,2.7950849718747373,1.8721674332511349
A,A (train visuals),17,10017,1.0,0.760242845758567,37,7.249999515819681,5.511760263654987,16.468005290604474
A,A (train visuals),18,10018,1.0,0.4902680782158749,196,5.250000254174017,2.57390753524675,12.061822227007355
A,A (train visuals),19,10019,1.0,0.4347826613634052,37,5.749999303469051,2.5,13.428162105064601
A,A (train visuals),20,10020,0.0,0.0,200,6.500001280409801,4.873202507837043,3.2856707636290245
A,A (train visuals),21,10021,1.0,0.25,10,1.0,0.25,10.821407384558665
A,A (train visuals),22,10022,1.0,0.7812969909539241,33,6.750001393187573,5.273755777432247,16.183852452695003
A,A (train visuals),23,10023,0.0,0.0,200,8.250001887407453,6.333924730650377,4.7481590369384
A,A (train visuals),24,10024,1.0,0.42426412422221427,108,2.499999672902547,1.0606601717798212,11.124487881312561
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,9.000000320950468,7.018235195245775,2.5780087928226147
L1,B_L1 (materials + lighting),1,10001,1.0,0.1462979589275856,199,7.249999791896109,1.0606601717798212,9.649276554837119
L1,B_L1 (materials + lighting),2,10002,1.0,0.43252327459920414,99,10.000001834759045,4.325233539568032,13.795778499800587
L1,B_L1 (materials + lighting),3,10003,1.0,0.3339183230071193,141,10.49999997957812,3.5061423847555133,12.072358155076117
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,13.250003488267582,1.118033988749895,-3.1669997631499385
L1,B_L1 (materials + lighting),5,10005,1.0,0.41773358399745203,104,6.000001016696265,2.506401928692887,12.259308791584099
L1,B_L1 (materials + lighting),6,10006,0.0,0.0,200,13.750003898112801,2.264906186004325,-6.001658225230274
L1,B_L1 (materials + lighting),7,10007,1.0,0.49999977444455707,6,0.5000002255555447,0.25,10.41672170851767
L1,B_L1 (materials + lighting),8,10008,1.0,0.15152285238841487,66,7.000001353333269,1.0606601717798212,11.006570701760745
L1,B_L1 (materials + lighting),9,10009,1.0,0.8571428019047681,19,3.500000225555545,3.0,13.167748406202861
L1,B_L1 (materials + lighting),10,10010,1.0,0.3703703619954988,61,6.750000152632039,2.5,13.211785057501936
L1,B_L1 (materials + lighting),11,10011,0.0,0.0,200,2.2500006766666343,4.650268809434569,-1.0913949506812277
L1,B_L1 (materials + lighting),12,10012,1.0,0.23177364217402419,70,5.499999337461605,1.2747548783981961,11.612485093163212
L1,B_L1 (materials + lighting),13,10013,1.0,0.06453626881140564,130,12.250001891996206,0.7905694150420949,10.787316962837796
L1,B_L1 (materials + lighting),14,10014,0.0,0.0,200,4.500000320950523,4.5069390943299865,-3.706937815019196
L1,B_L1 (materials + lighting),15,10015,1.0,0.4476250387821352,65,9.500000881174035,4.252438262865846,15.067767732791237
L1,B_L1 (materials + lighting),16,10016,0.0,0.0,200,13.500002258947996,2.7950849718747373,-0.9184201110517618
L1,B_L1 (materials + lighting),17,10017,0.0,0.0,200,1.7500005638888618,5.511760263654987,-0.34912501889191166
L1,B_L1 (materials + lighting),18,10018,0.0,0.0,200,12.250002933918275,2.57390753524675,-0.6337005208701192
L1,B_L1 (materials + lighting),19,10019,0.0,0.0,200,15.750001807836771,2.5,-0.02334610373404722
L1,B_L1 (materials + lighting),20,10020,0.0,0.0,200,7.250001119934392,4.873202507837043,0.32474872631460083
L1,B_L1 (materials + lighting),21,10021,1.0,0.11111110507075275,50,2.2500001223172634,0.25,9.900799127932157
L1,B_L1 (materials + lighting),22,10022,1.0,0.6392430660616893,87,8.250000754678988,5.273755777432247,15.390677505080948
L1,B_L1 (materials + lighting),23,10023,0.0,0.0,200,11.750001018392247,6.333924730650377,1.8679271090157572
L1,B_L1 (materials + lighting),24,10024,1.0,0.4714043790205363,22,2.2500006766666343,1.0606601717798212,11.39160263324509
L2,B_L2 (+ object appearance),0,10000,0.0,0.0,200,8.000000160475228,7.018235195245775,2.6870557784261258
L2,B_L2 (+ object appearance),1,10001,1.0,0.5303301751542754,13,1.999999663363056,1.0606601717798212,11.509917659690824
L2,B_L2 (+ object appearance),2,10002,0.0,0.0,200,11.750003721666488,4.325233539568032,-1.577244750046611
