level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.625,9,2.0,1.25,11.879206501980878
A,A (train visuals),1,10001,1.0,0.6428571081256387,17,3.5000001890937553,2.25,13.218548735790458
A,A (train visuals),2,10002,1.0,0.7716299652598168,46,8.000001808508168,6.173041117577629,15.713969440880433
A,A (train visuals),3,10003,1.0,0.6000000133297887,13,2.499999944459215,1.5,12.279378371211415
A,A (train visuals),4,10004,1.0,1.0,20,1.500000038157963,0.0,10.261095953438339
A,A (train visuals),5,10005,0.0,0.0,200,0.0,0.0,-2.0000000000000013
A,A (train visuals),6,10006,1.0,1.0,12,0.9999997284431612,0.0,10.854217136938548
A,A (train visuals),7,10007,1.0,1.0,6,0.750000338333317,0.0,10.624205381914756
A,A (train visuals),8,10008,1.0,0.6428571081256387,17,3.5000001890937553,2.25,13.218548735790458
A,A (train visuals),9,10009,1.0,0.732313357279971,41,7.000001297792453,5.126194451350545,14.329919479624856
A,A (train visuals),10,10010,1.0,0.5382078852391594,29,3.750000808523403,2.0182800048005185,12.847382194659202
A,A (train visuals),11,10011,1.0,0.6697426976229105,36,6.000000724364115,4.0184566708750395,13.990030707645806
A,A (train visuals),12,10012,1.0,1.0,13,1.000000000000007,0.0,10.85155170254403
A,A (train visuals),13,10013,1.0,1.0,15,1.7500003478728081,0.0,10.804239772568799
A,A (train visuals),14,10014,1.0,1.0,10,1.0,0.0,10.827197224485765
A,A (train visuals),15,10015,1.0,0.7107084315199086,34,5.9999997761406565,4.264250430020729,14.909246198836746
A,A (train visuals),16,10016,0.0,0.0,200,0.0,3.2665472931798827,-2.0000000000000013
A,A (train visuals),17,10017,1.0,0.7728260252462696,44,7.50000090391855,5.7961958879188025,15.7626572523372
A,A (train visuals),18,10018,1.0,0.677382147770266,35,5.750000940380168,3.8949479866757675,13.631052644523903
A,A (train visuals),19,10019,1.0,0.5382078852391594,22,3.750000808523403,2.0182800048005185,12.917382194659202
A,A (train visuals),20,10020,1.0,0.7,16,2.5,1.75,12.335659674508488
A,A (train visuals),21,10021,1.0,1.0,9,0.75,0.0,10.641891068277031
A,A (train visuals),22,10022,1.0,0.6846500716638192,41,6.500001137317213,4.450226244479136,13.883253836959769
A,A (train visuals),23,10023,1.0,0.4,7,1.25,0.5,11.176806696366413
A,A (train visuals),24,10024,1.0,0.6428571941755379,22,3.4999997205998716,2.25,13.052261102276677
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,0.0,1.25,-2.0000000000000013
L1,B_L1 (materials + lighting),1,10001,0.0,0.0,200,0.0,2.25,-2.0000000000000013
