level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.8600258665020544,16,3.2500010531579293,2.7950849718747373,13.089306914506727
A,A (train visuals),1,10001,1.0,1.0,10,0.7500001332256809,0.0,10.49185085319938
A,A (train visuals),2,10002,1.0,0.7985953931064674,15,3.500001372412251,2.7950849718747373,13.259412856536654
A,A (train visuals),3,10003,1.0,0.7603454442675257,13,1.9999996633628854,1.5206906325745548,11.824138473485
A,A (train visuals),4,10004,1.0,0.25000009369881165,11,0.9999996252048938,0.25,10.82569725124211
A,A (train visuals),5,10005,1.0,0.6708204784597364,21,2.4999996824418673,1.6770509831248424,12.190810214454787
A,A (train visuals),6,10006,1.0,0.6478836380589076,18,2.249999672902348,1.4577379737113252,11.91499477426516
A,A (train visuals),7,10007,1.0,0.9204469697108202,18,2.9999992885677647,2.7613402542968153,12.81326220697901
A,A (train visuals),8,10008,1.0,1.0,8,0.7500001332256809,0.0,10.511850853199382
A,A (train visuals),9,10009,0.0,0.0,200,0.0,3.5214691218542087,-2.0000000000000013
A,A (train visuals),10,10010,1.0,0.6666666666666666,14,1.5,1.0,11.329273786967509
A,A (train visuals),11,10011,1.0,0.5999998917333581,17,1.2500002255555447,0.75,11.033553001221948
A,A (train visuals),12,10012,1.0,1.0,1,0.2500000095394908,0.0,10.080584378483922
A,A (train visuals),13,10013,1.0,1.0,4,0.4999998126024469,0.0,10.441219992744518
A,A (train visuals),14,10014,1.0,0.900000337315722,20,2.4999990630122344,2.25,12.295708717343704
A,A (train visuals),15,10015,1.0,0.5590168656192256,19,2.000000460650581,1.118033988749895,11.21242343591137
A,A (train visuals),16,10016,1.0,1.0,4,0.0,0.0,9.96
A,A (train visuals),17,10017,1.0,0.7713888968166438,24,2.750001137317215,2.1213203435596424,12.194824245737033
A,A (train visuals),18,10018,1.0,1.0,3,0.49999991584071424,0.0,10.360866088899458
A,A (train visuals),19,10019,1.0,0.6666666666666666,9,1.5,1.0,11.379273786967508
A,A (train visuals),20,10020,1.0,0.9166668840487902,22,2.9999992885677647,2.75,12.740809839596555
A,A (train visuals),21,10021,1.0,0.9204469697108202,22,2.9999992885677647,2.7613402542968153,12.77326220697901
A,A (train visuals),22,10022,1.0,1.0,4,0.49999991584071424,0.0,10.423590316490344
A,A (train visuals),23,10023,1.0,0.7272727272727273,16,2.75,2.0,12.417242046751502
A,A (train visuals),24,10024,1.0,1.0,14,0.7500000965076967,0.0,10.451850855633587
L1,B_L1 (materials + lighting),0,10000,1.0,0.8600258665020544,16,3.2500010531579293,2.7950849718747373,13.089306914506727
L1,B_L1 (materials + lighting),1,10001,1.0,1.0,11,0.7500000190789843,0.0,10.38970350548933
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,0.0,2.7950849718747373,-2.0000000000000013
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,0.4999999063012235,1.5206906325745548,-1.5610273587227645
L1,B_L1 (materials + lighting),4,10004,1.0,0.24999997180556008,13,1.0000001127777725,0.25,10.724756586304371
L1,B_L1 (materials + lighting),5,10005,1.0,0.6708205615649776,32,2.4999993727270367,1.6770509831248424,12.09359186868258
L1,B_L1 (materials + lighting),6,10006,1.0,0.6478836083316105,19,2.249999776140658,1.4577379737113252,11.9732116823481
