level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.9055786645219278,41,7.750000602046907,7.018235195245775,16.762685510613395
A,A (train visuals),1,10001,1.0,0.6060916823808313,9,1.7499995505850987,1.0606601717798212,11.621718748471421
A,A (train visuals),2,10002,1.0,0.8238540927646588,24,5.2499994568863215,4.325233539568032,14.679243003908049
A,A (train visuals),3,10003,1.0,0.9349712087325135,21,3.750000376491366,3.5061423847555133,13.339895560246
A,A (train visuals),4,10004,1.0,0.6388763898640025,7,1.7500004797295616,1.118033988749895,11.556685948336026
A,A (train visuals),5,10005,1.0,0.9114186588968328,15,2.7500006766666347,2.506401928692887,12.424172334736486
A,A (train visuals),6,10006,1.0,0.9059620657121954,12,2.500001127777724,2.264906186004325,12.379933043941955
A,A (train visuals),7,10007,1.0,0.9999995488891141,3,0.25000011277777234,0.25,10.21027550528863
A,A (train visuals),8,10008,1.0,0.6060913248274679,11,1.7500005829678433,1.0606601717798212,11.601719546077732
A,A (train visuals),9,10009,1.0,0.7999999498463954,19,3.750000235095036,3.0,13.120863215131145
A,A (train visuals),10,10010,1.0,0.7692304710925467,16,3.2500012596344785,2.5,13.034331134646646
A,A (train visuals),11,10011,1.0,0.8455032606696935,30,5.500001035775136,4.650268809434569,15.019270831482405
A,A (train visuals),12,10012,1.0,0.6373773642769709,13,2.000000235095036,1.2747548783981961,11.66407187951088
A,A (train visuals),13,10013,1.0,0.5270464379549149,13,1.499999541045608,0.7905694150420949,11.369999334049929
A,A (train visuals),14,10014,1.0,0.8584645891188207,24,5.250000001696258,4.5069390943299865,14.427868996219825
A,A (train visuals),15,10015,0.0,0.0,200,0.750000338333317,4.252438262865846,-1.2500019234724804
A,A (train visuals),16,10016,1.0,0.7985953695505872,17,3.5000014756505324,2.7950849718747373,13.32997466027544
A,A (train visuals),17,10017,1.0,0.8165570518628985,31,6.750000200329446,5.511760263654987,15.876095197397401
A,A (train visuals),18,10018,1.0,0.7919716700314864,20,3.2499995045838186,2.57390753524675,13.046638275099756
A,A (train visuals),19,10019,1.0,0.7692309109241592,15,3.2499994013455376,2.5,13.044329742033977
A,A (train visuals),20,10020,1.0,0.886036734639506,25,5.500000527427071,4.873202507837043,14.641615946836987
A,A (train visuals),21,10021,1.0,0.9999995488891141,3,0.25000011277777234,0.25,10.21027550528863
A,A (train visuals),22,10022,1.0,0.8789590207201469,27,6.000001880760453,5.273755777432247,15.565239678800037
A,A (train visuals),23,10023,1.0,0.9048462539577656,37,7.000001053157941,6.333924730650377,15.921620796388842
A,A (train visuals),24,10024,1.0,0.6060913716453609,9,1.7500004477879945,1.0606601717798212,11.622510060158652
L1,B_L1 (materials + lighting),0,10000,1.0,0.9357645801304292,40,7.500000902222176,7.018235195245775,16.66905101566938
L1,B_L1 (materials + lighting),1,10001,1.0,0.606091649929368,9,1.7499996442838754,1.0606601717798212,11.547224354278427
L1,B_L1 (materials + lighting),2,10002,1.0,0.7522145148930091,27,5.750000104934468,4.325233539568032,14.643567859133594
L1,B_L1 (materials + lighting),3,10003,1.0,0.9349710776543653,21,3.7500009022221796,3.5061423847555133,13.380341303250944
L1,B_L1 (materials + lighting),4,10004,1.0,0.6388763521745862,8,1.7500005829678433,1.118033988749895,11.579151615199168
L1,B_L1 (materials + lighting),5,10005,1.0,0.9114185467647659,15,2.7500010149999516,2.506401928692887,12.544574059095774
L1,B_L1 (materials + lighting),6,10006,1.0,0.8236020691480886,14,2.7500006020469105,2.264906186004325,12.521594125939826
L1,B_L1 (materials + lighting),7,10007,1.0,1.0,4,0.25,0.25,10.199862174229596
L1,B_L1 (materials + lighting),8,10008,1.0,0.4714044615422843,14,2.2500002827925747,1.0606601717798212,11.625506160353728
L1,B_L1 (materials + lighting),9,10009,1.0,0.7058821811910839,21,4.250001034078934,3.0,13.255828934848983
L1,B_L1 (materials + lighting),10,10010,1.0,0.7692304710925467,16,3.2500012596344785,2.5,13.034331134646646
L1,B_L1 (materials + lighting),11,10011,1.0,0.8455032924108685,31,5.500000829298712,4.650268809434569,15.009270717840806
L1,B_L1 (materials + lighting),12,10012,1.0,0.6373773642769709,13,2.000000235095036,1.2747548783981961,11.66407187951088
L1,B_L1 (materials + lighting),13,10013,1.0,0.4517539489900527,17,1.7500000095394908,0.7905694150420949,11.176037180610502
L1,B_L1 (materials + lighting),14,10014,1.0,0.8584645891188207,24,5.250000001696258,4.5069390943299865,14.427868996219825
L1,B_L1 (materials + lighting),15,10015,0.0,0.0,200,0.0,4.252438262865846,-2.0000000000000013
L1,B_L1 (materials + lighting),16,10016,1.0,0.7453558709400593,21,3.7500006115864015,2.7950849718747373,13.249491629931107
L1,B_L1 (materials + lighting),17,10017,0.0,0.0,200,5.749999636440586,5.511760263654987,3.090909234210203
L1,B_L1 (materials + lighting),18,10018,1.0,0.7354021328837398,24,3.5000000953949653,2.57390753524675,12.985599971341982
L1,B_L1 (materials + lighting),19,10019,1.0,0.7692309109241592,15,3.2499994013455376,2.5,13.044329742033977
L1,B_L1 (materials + lighting),20,10020,1.0,0.8860366619666104,25,5.500000978538161,4.873202507837043,14.52772163509224
L1,B_L1 (materials + lighting),21,10021,1.0,1.0,2,0.25,0.25,10.219862174229595
L1,B_L1 (materials + lighting),22,10022,1.0,0.8789589904727699,28,6.000002087236887,5.273755777432247,15.524819596221505
L1,B_L1 (materials + lighting),23,10023,1.0,0.9048462151559847,37,7.000001353333267,6.333924730650377,16.0209776046337
L1,B_L1 (materials + lighting),24,10024,1.0,0.6060913248274679,9,1.7500005829678433,1.0606601717798212,11.621719546077733
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0,10000,0.0,0.0,200,4.750000451111088,7.018235195245775,2.4598634880767625
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",1,10001,1.0,0.6060916823808313,9,1.7499995505850987,1.0606601717798212,11.621718748471421
