level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.625,8,2.0,1.25,11.889206501980878
A,A (train visuals),1,10001,1.0,0.6428571046213337,16,3.500000208172751,2.25,13.164483265077642
A,A (train visuals),2,10002,1.0,0.7054903450349002,45,8.750000848377667,6.173041117577629,15.730537982979945
A,A (train visuals),3,10003,1.0,0.6000001032806316,12,2.499999569664109,1.5,12.251901280201855
A,A (train visuals),4,10004,1.0,1.0,4,0.7500002255555447,0.0,10.335501998251969
A,A (train visuals),5,10005,0.0,0.0,200,0.0,0.0,-2.0000000000000013
A,A (train visuals),6,10006,1.0,1.0,9,0.9999998316814285,0.0,10.769402755077552
A,A (train visuals),7,10007,1.0,1.0,5,0.750000338333317,0.0,10.634205381914756
A,A (train visuals),8,10008,1.0,0.6000000584409042,17,3.749999634744384,2.25,13.224330866990798
A,A (train visuals),9,10009,1.0,0.6834925205455633,41,7.500000800680042,5.126194451350545,14.356003825663946
A,A (train visuals),10,10010,0.0,0.0,200,0.5,2.0182800048005185,-1.5506950558564152
A,A (train visuals),11,10011,1.0,0.6182241396048244,38,6.499999617361563,4.0184566708750395,13.953325724956262
A,A (train visuals),12,10012,1.0,1.0,13,2.250000170014717,0.0,10.872766061893907
A,A (train visuals),13,10013,1.0,1.0,14,1.4999999754454028,0.0,10.706805703549174
A,A (train visuals),14,10014,1.0,1.0,10,1.0000004511110894,0.0,10.851404423313841
A,A (train visuals),15,10015,1.0,0.6560384725371896,36,6.500000546506054,4.264250430020729,14.924456667188547
A,A (train visuals),16,10016,1.0,0.6221995254420609,28,5.249999653823366,3.2665472931798827,14.19554965024335
A,A (train visuals),17,10017,1.0,0.6819053283584905,44,8.500000875299852,5.7961958879188025,15.836312069670951
A,A (train visuals),18,10018,0.0,0.0,200,0.0,3.8949479866757675,-2.0000000000000013
A,A (train visuals),19,10019,0.0,0.0,200,0.25000011277777234,2.0182800048005185,-1.7511706550927157
A,A (train visuals),20,10020,1.0,0.7,17,2.5,1.75,12.32565967450849
A,A (train visuals),21,10021,1.0,1.0,9,0.750000338333317,0.0,10.594205381914755
A,A (train visuals),22,10022,1.0,0.6138243015066743,40,7.250000095394964,4.450226244479136,13.880969166666107
A,A (train visuals),23,10023,1.0,0.4,6,1.25,0.5,11.186806696366414
A,A (train visuals),24,10024,1.0,0.642856952924331,20,3.500001034078948,2.25,13.124484417907986
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,0.5,1.25,-1.503777868664462
L1,B_L1 (materials + lighting),1,10001,0.0,0.0,200,0.0,2.25,-2.0000000000000013
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,0.0,6.173041117577629,-2.0000000000000013
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,0.0,1.5,-2.0000000000000013
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),5,10005,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),6,10006,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),7,10007,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),8,10008,0.0,0.0,200,0.25,2.25,-1.7665889701254565
L1,B_L1 (materials + lighting),9,10009,0.0,0.0,200,0.0,5.126194451350545,-2.0000000000000013
L1,B_L1 (materials + lighting),10,10010,0.0,0.0,200,0.0,2.0182800048005185,-2.0000000000000013
L1,B_L1 (materials + lighting),11,10011,0.0,0.0,200,0.0,4.0184566708750395,-2.0000000000000013
L1,B_L1 (materials + lighting),12,10012,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),13,10013,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),14,10014,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),15,10015,0.0,0.0,200,0.0,4.264250430020729,-2.0000000000000013
L1,B_L1 (materials + lighting),16,10016,0.0,0.0,200,2.25,3.2665472931798827,-0.0018217614841845343
L1,B_L1 (materials + lighting),17,10017,0.0,0.0,200,0.0,5.7961958879188025,-2.0000000000000013
L1,B_L1 (materials + lighting),18,10018,0.0,0.0,200,0.0,3.8949479866757675,-2.0000000000000013
L1,B_L1 (materials + lighting),19,10019,0.0,0.0,200,0.5,2.0182800048005185,-1.5506950558564152
L1,B_L1 (materials + lighting),20,10020,0.0,0.0,200,0.0,1.75,-2.0000000000000013
L1,B_L1 (materials + lighting),21,10021,0.0,0.0,200,0.0,0.0,-2.0000000000000013
L1,B_L1 (materials + lighting),22,10022,0.0,0.0,200,0.0,4.450226244479136,-2.0000000000000013
L1,B_L1 (materials + lighting),23,10023,0.0,0.0,200,0.0,0.5,-2.0000000000000013
L1,B_L1 (materials + lighting),24,10024,0.0,0.0,200,0.0,2.25,-2.0000000000000013
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0,10000,0.0,0.0,200,0.25,1.25,-1.7517404726500803
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",1,10001,0.0,0.0,200,0.0,2.25,-2.0000000000000013
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",2,10002,0.0,0.0,200,0.0,6.173041117577629,-2.0000000000000013
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",3,10003,0.0,0.0,200,0.0,1.5,-2.0000000000000013
