level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.333333333333331,6,1.5000000000000107,0.5,11.438018121165925
A,A (train visuals),1,10001,1.0,1.0,1,0.0,0.0,9.99
A,A (train visuals),2,10002,1.0,0.5000000468493927,9,0.9999999063012235,0.5,10.88448866608958
A,A (train visuals),3,10003,1.0,1.0,1,0.0,0.0,9.99
A,A (train visuals),4,10004,1.0,0.28571415682546114,11,1.7500007894444067,0.5,11.537059948529556
A,A (train visuals),5,10005,1.0,1.0,8,0.0,0.0,9.92
A,A (train visuals),6,10006,1.0,1.0,17,1.250000347872808,0.0,10.516842219878074
A,A (train visuals),7,10007,1.0,1.0,7,1.0,0.0,10.928410935557295
A,A (train visuals),8,10008,1.0,1.0,6,0.0,0.0,9.94
A,A (train visuals),9,10009,1.0,0.25000006788922813,8,0.9999997284431612,0.25,10.911082631469291
A,A (train visuals),10,10010,1.0,0.25000004565696027,23,1.9999996347443847,0.5,11.347500963892355
A,A (train visuals),11,10011,1.0,0.35355328922453366,14,2.000000573428353,0.7071067811865476,11.704605867244242
A,A (train visuals),12,10012,1.0,0.4123104478164914,19,2.5000006957456162,1.0307764064044151,12.042205226097046
A,A (train visuals),13,10013,1.0,1.0,1,0.0,0.0,9.99
A,A (train visuals),14,10014,1.0,1.0,19,0.25,0.0,10.058987547509181
A,A (train visuals),15,10015,1.0,0.4242639139808986,14,2.50000091176167,1.0606601717798212,12.24362060887595
A,A (train visuals),16,10016,1.0,1.0,13,0.5000001127777723,0.0,10.334191251817142
A,A (train visuals),17,10017,1.0,0.3999998525918687,11,1.2500004606505801,0.5,10.918580181197376
A,A (train visuals),18,10018,1.0,1.0,7,0.25000011277777234,0.0,10.157515664151118
A,A (train visuals),19,10019,1.0,0.28571434223293096,9,1.7499996538233664,0.5,11.467752404514922
A,A (train visuals),20,10020,1.0,1.0,12,1.000000000000007,0.0,10.878410926848936
A,A (train visuals),21,10021,1.0,1.0,12,1.000000000000007,0.0,10.878410926848936
A,A (train visuals),22,10022,1.0,0.3535535065396323,11,1.9999993441085642,0.7071067811865476,11.807422020870067
A,A (train visuals),23,10023,1.0,1.0,8,0.7500003532344721,0.0,10.552080476171037
A,A (train visuals),24,10024,1.0,1.0,1,0.0,0.0,9.99
L1,B_L1 (materials + lighting),0,10000,1.0,0.18181814848461939,54,2.7500005041702242,0.5,10.997659118516786
L1,B_L1 (materials + lighting),1,10001,1.0,1.0,3,0.0,0.0,9.97
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,0.750000131856754,0.5,-1.8050265672123134
L1,B_L1 (materials + lighting),3,10003,1.0,1.0,1,0.0,0.0,9.99
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,5.50000054339808,0.5,-2.7871858468976614
L1,B_L1 (materials + lighting),5,10005,1.0,1.0,1,0.0,0.0,9.99
L1,B_L1 (materials + lighting),6,10006,0.0,0.0,200,2.750000185985768,0.0,-2.891099648730232
