level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.37499990826207513,13,2.0000004892690524,0.75,11.789970873482146
A,A (train visuals),1,10001,1.0,1.0,12,0.25,0.0,10.121262413047065
A,A (train visuals),2,10002,1.0,1.0,8,0.7500001127777723,0.0,10.633949203570829
A,A (train visuals),3,10003,1.0,0.14285711368063467,10,1.7500003574122984,0.25,11.353139043646777
A,A (train visuals),4,10004,1.0,1.0,13,1.2499996347443847,0.0,11.06527267194214
A,A (train visuals),5,10005,1.0,0.16666660957515778,10,1.500000513823756,0.25,11.345032074627909
A,A (train visuals),6,10006,1.0,1.0,9,0.5000000190789816,0.0,10.330645331956045
A,A (train visuals),7,10007,1.0,0.2,11,1.25,0.25,11.10995882635266
A,A (train visuals),8,10008,1.0,1.0,6,0.25,0.0,10.181262413047063
A,A (train visuals),9,10009,1.0,1.0,13,1.0,0.0,10.839023906596436
A,A (train visuals),10,10010,1.0,1.0,13,1.2500001127777725,0.0,10.78827712747195
A,A (train visuals),11,10011,1.0,1.0,5,0.24999990630122346,0.0,10.191136837492522
A,A (train visuals),12,10012,1.0,1.0,16,1.000000338333317,0.0,10.758219789944102
A,A (train visuals),13,10013,1.0,1.0,2,0.2500000095394908,0.0,10.228108087164202
A,A (train visuals),14,10014,1.0,1.0,9,1.0000000095394908,0.0,10.833244752900697
A,A (train visuals),15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
A,A (train visuals),16,10016,1.0,1.0,15,0.25,0.0,9.947533525637379
A,A (train visuals),17,10017,1.0,1.0,49,1.0000002255555447,0.0,10.259844814152068
A,A (train visuals),18,10018,1.0,1.0,8,1.2499995315061172,0.0,10.99888923054275
A,A (train visuals),19,10019,1.0,1.0,13,1.2499999253802194,0.0,10.744149332212675
A,A (train visuals),20,10020,1.0,0.2,8,1.25,0.25,11.13995882635266
A,A (train visuals),21,10021,1.0,0.16666667495775542,15,1.499999925380205,0.25,11.27973238562381
A,A (train visuals),22,10022,1.0,1.0,27,0.25,0.0,9.82753352563738
A,A (train visuals),23,10023,1.0,0.1999999984736815,11,1.2500000095394908,0.25,11.034408885134935
A,A (train visuals),24,10024,1.0,1.0,3,0.2500000095394908,0.0,10.208294804419744
L1,B_L1 (materials + lighting),0,10000,1.0,0.33333324414123494,10,2.2500006020468253,0.75,11.809494314650289
L1,B_L1 (materials + lighting),1,10001,1.0,1.0,16,0.7500000339801454,0.0,9.988545535030289
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,5.499999588743103,0.0,-1.3855585142671176
L1,B_L1 (materials + lighting),3,10003,1.0,0.12499998530656198,81,2.000000235095036,0.25,10.667431984201661
L1,B_L1 (materials + lighting),4,10004,1.0,1.0,64,1.2500003478728077,0.0,10.471063424756897
L1,B_L1 (materials + lighting),5,10005,1.0,0.16666660295242963,9,1.5000005734283526,0.25,11.337266118363928
L1,B_L1 (materials + lighting),6,10006,1.0,1.0,6,0.5,0.0,10.424975404734077
L1,B_L1 (materials + lighting),7,10007,1.0,0.16666666454677986,48,1.5000000190789815,0.25,10.626740668467939
L1,B_L1 (materials + lighting),8,10008,1.0,1.0,197,2.750000066776436,0.0,8.131682447526565
L1,B_L1 (materials + lighting),9,10009,1.0,1.0,8,1.000000338333317,0.0,10.861654318582575
L1,B_L1 (materials + lighting),10,10010,1.0,1.0,93,2.5000004701900855,0.0,9.998605066814408
L1,B_L1 (materials + lighting),11,10011,1.0,1.0,77,1.5000000381579917,0.0,9.568133574979054
L1,B_L1 (materials + lighting),12,10012,1.0,1.0,22,1.2500000095394908,0.0,10.670762385144874
L1,B_L1 (materials + lighting),13,10013,1.0,1.0,22,0.2500000095394908,0.0,9.91475805230796
L1,B_L1 (materials + lighting),14,10014,1.0,1.0,19,1.2500000190789815,0.0,10.718148643421827
L1,B_L1 (materials + lighting),15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
L1,B_L1 (materials + lighting),16,10016,1.0,1.0,200,2.999999344108564,0.0,8.16483232527296
L1,B_L1 (materials + lighting),17,10017,1.0,1.0,32,0.7499999063012235,0.0,10.387810057756237
L1,B_L1 (materials + lighting),18,10018,1.0,1.0,187,1.4999997189036702,0.0,9.214426167344556
L1,B_L1 (materials + lighting),19,10019,1.0,1.0,48,1.2499999063012235,0.0,10.438276973582092
L1,B_L1 (materials + lighting),20,10020,1.0,0.16666666136694974,55,1.5000000476974538,0.25,10.536089765192147
L1,B_L1 (materials + lighting),21,10021,1.0,0.19999999542104455,13,1.2500000286184723,0.25,10.914423129648043
L1,B_L1 (materials + lighting),22,10022,0.0,0.0,200,1.0000001127777725,0.0,-2.755893069088719
L1,B_L1 (materials + lighting),23,10023,1.0,0.10000000107689365,128,2.499999973077659,0.25,9.726996382056656
L1,B_L1 (materials + lighting),24,10024,1.0,1.0,5,0.25,0.0,10.191262413047065
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0,10000,1.0,0.33333326084904497,41,2.250000489269053,0.75,11.457226942944557
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",1,10001,1.0,1.0,53,0.7500000190789816,0.0,9.711262413047063
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",2,10002,1.0,1.0,5,0.7500002255555447,0.0,10.605634906575613
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",3,10003,1.0,0.12499997766173535,22,2.0000003574122984,0.25,11.30926751819753
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",4,10004,1.0,1.0,127,3.250000301871472,0.0,9.817501994822221
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",5,10005,1.0,0.05263157528543023,133,4.750000330489945,0.25,10.153129435277322
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",6,10006,1.0,1.0,9,0.7500000286184725,0.0,10.36913257958443
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",7,10007,1.0,0.19999999389472606,21,1.2500000381579632,0.25,10.830446381668015
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",8,10008,1.0,1.0,28,0.5000000095394908,0.0,9.888897430619476
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",9,10009,1.0,1.0,30,1.5000000572369874,0.0,10.763508789342819
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",10,10010,0.0,0.0,200,1.9999999444592151,0.0,-1.2473018941066913
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",11,10011,1.0,1.0,1,0.24999990630122346,0.0,10.231136837492521
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",12,10012,1.0,1.0,31,1.249999625204894,0.0,10.648580184983173
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",13,10013,1.0,1.0,17,0.5,0.0,10.152410131521304
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",14,10014,1.0,1.0,52,2.7499999921566407,0.0,10.41925238630958
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",16,10016,1.0,1.0,8,0.749999812602447,0.0,10.065006529989711
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",17,10017,0.0,0.0,200,4.249999850760438,0.0,-1.4230735409115391
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",18,10018,0.0,0.0,200,1.7499998507604386,0.0,-1.454913112824266
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",19,10019,0.0,0.0,200,2.250000131856768,0.0,-2.45560729552823
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",20,10020,1.0,0.19999999542104455,123,1.2500000286184723,0.25,9.856089765192147
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",21,10021,1.0,0.1249999970189092,37,2.000000047697454,0.25,10.680367449542583
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",22,10022,0.0,0.0,200,0.7500001127777723,0.0,-2.0898075736335158
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",23,10023,1.0,0.19999999236840765,14,1.250000047697454,0.25,10.879202822423915
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",24,10024,1.0,1.0,3,0.25,0.0,10.009853713032566
L2,B_L2 (+ object appearance),0,10000,1.0,0.249999951875659,60,3.0000005774922034,0.75,11.253233601660286
L2,B_L2 (+ object appearance),1,10001,1.0,1.0,10,0.2500000095394908,0.0,9.94945334290288
L2,B_L2 (+ object appearance),2,10002,0.0,0.0,200,2.500000076315983,0.0,-2.4322648025188682
L2,B_L2 (+ object appearance),3,10003,1.0,0.14285710525302375,11,1.7500004606505801,0.25,11.343139089268961
L2,B_L2 (+ object appearance),4,10004,1.0,1.0,155,3.500000395570276,0.0,9.529156780069954
L2,B_L2 (+ object appearance),5,10005,0.0,0.0,200,4.750000464714434,0.25,-1.4450196941927722
L2,B_L2 (+ object appearance),6,10006,1.0,1.0,5,0.5000000190789816,0.0,10.415966957922835
L2,B_L2 (+ object appearance),7,10007,1.0,0.199999996947363,28,1.2500000190789815,0.25,10.760628142411203
L2,B_L2 (+ object appearance),8,10008,1.0,1.0,108,2.000000047697454,0.0,9.081240404515725
L2,B_L2 (+ object appearance),9,10009,1.0,1.0,22,1.2500002446345406,0.0,10.843509308217886
L2,B_L2 (+ object appearance),10,10010,1.0,1.0,136,1.7499998507604384,0.0,9.58951129109925
L2,B_L2 (+ object appearance),11,10011,1.0,1.0,6,0.25,0.0,10.178900318981974
L2,B_L2 (+ object appearance),12,10012,0.0,0.0,200,2.7500003073472072,0.0,-1.5752473659820672
L2,B_L2 (+ object appearance),13,10013,1.0,1.0,4,0.2500000095394908,0.0,10.208108087164202
L2,B_L2 (+ object appearance),14,10014,1.0,1.0,34,1.4999999539986772,0.0,10.88089989063608
L2,B_L2 (+ object appearance),15,10015,1.0,1.0,1,0.0,1.3880431555316297,9.99
L2,B_L2 (+ object appearance),16,10016,0.0,0.0,200,4.750000066776464,0.0,-2.982576122134943
L2,B_L2 (+ object appearance),17,10017,0.0,0.0,200,1.5000004701900855,0.0,-2.209799613220343
L2,B_L2 (+ object appearance),18,10018,1.0,1.0,193,3.499999288567779,0.0,9.182034343180852
L2,B_L2 (+ object appearance),19,10019,0.0,0.0,200,4.2500002477425145,0.0,-1.4903019640536608
L2,B_L2 (+ object appearance),20,10020,1.0,0.19999999236840765,21,1.250000047697454,0.25,10.810843826153574
