variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
variant_a,0,10000,1.0,0.7,14,2.5,1.75,12.274282560963664
variant_a,1,10001,1.0,0.5150786760187388,11,1.7500002637135077,0.9013878188659973,11.502191948969308
variant_a,2,10002,1.0,0.7985953931064674,15,3.500001372412251,2.7950849718747373,13.259412856536654
variant_a,3,10003,1.0,0.5000001873976233,11,1.4999994378073407,0.75,11.357713963975415
variant_a,4,10004,1.0,0.49999998092101916,12,1.5000000572369447,0.75,11.11151159667508
variant_a,5,10005,1.0,0.6555544816291924,14,2.7500012405554966,1.8027756377319946,12.260955325739115
variant_a,6,10006,1.0,0.42857137333334305,11,1.750000225555545,0.75,11.344261400285482
variant_a,7,10007,1.0,0.8818124956651174,19,3.249999401345537,2.8658900830106457,13.04254691026654
variant_a,8,10008,1.0,0.5555554904411166,11,2.2500002637135084,1.25,11.903422492361859
variant_a,9,10009,0.0,0.0,200,1.2499995315061172,1.118033988749895,-0.7733045542718325
variant_a,10,10010,1.0,0.7142857142857143,15,1.75,1.25,11.567032664505343
variant_a,11,10011,0.0,0.0,200,0.0,0.0,-2.0000000000000013
variant_a,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_a,13,10013,1.0,1.0,3,0.5000000190789816,0.0,10.306024675804501
variant_a,14,10014,1.0,0.6363635841689691,15,2.750000225555545,1.75,12.213841528893342
variant_a,15,10015,1.0,0.5590168629528582,19,2.000000470190071,1.118033988749895,11.335676468497859
variant_a,16,10016,1.0,0.7499998731250276,16,2.000000338333317,1.5,11.715556378417963
variant_a,17,10017,1.0,0.6324554653188524,15,2.5000002637135226,1.5811388300841898,11.688417820127489
variant_a,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_a,19,10019,1.0,0.7142857142857143,10,1.75,1.25,11.617032664505341
variant_a,20,10020,1.0,0.6666666666666666,15,3.0,2.0,12.501277822850238
variant_a,21,10021,1.0,0.8818124956651174,23,3.249999401345537,2.8658900830106457,13.00254691026654
variant_a,22,10022,1.0,0.5000001357784563,6,0.9999997284431612,0.5,10.825966881910071
variant_a,23,10023,0.0,0.0,200,0.5000000190789816,2.3136478027815093,-1.562612270499022
variant_a,24,10024,1.0,0.5555555924048395,17,2.24999985076041,1.25,11.843422229354978
variant_b,0,10000,1.0,0.7,14,2.5,1.75,12.274282560963664
variant_b,1,10001,0.0,0.0,200,0.0,0.9013878188659973,-2.0000000000000013
variant_b,2,10002,1.0,0.7453556973013045,18,3.7500014851900234,2.7950849718747373,13.143635236026574
variant_b,3,10003,0.0,0.0,200,0.0,0.75,-2.0000000000000013
variant_b,4,10004,0.0,0.0,200,0.0,0.75,-2.0000000000000013
variant_b,5,10005,0.0,0.0,200,0.5000002255555447,1.8027756377319946,-1.5153860431205963
variant_b,6,10006,0.0,0.0,200,0.0,0.75,-2.0000000000000013
variant_b,7,10007,0.0,0.0,200,2.2499993631875457,2.8658900830106457,0.2429000006645179
variant_b,8,10008,0.0,0.0,200,1.5000004606505801,1.25,-0.5592795749726253
variant_b,9,10009,0.0,0.0,200,0.5000002255555447,1.118033988749895,-1.6270976189159807
variant_b,10,10010,0.0,0.0,200,0.0,1.25,-2.0000000000000013
variant_b,11,10011,0.0,0.0,200,0.0,0.0,-2.0000000000000013
variant_b,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_b,13,10013,1.0,1.0,5,0.5,0.0,10.413554141168836
variant_b,14,10014,0.0,0.0,200,0.0,1.75,-2.0000000000000013
variant_b,15,10015,0.0,0.0,200,0.75,1.118033988749895,-1.6497859915271507
variant_b,16,10016,0.0,0.0,200,0.0,1.5,-2.0000000000000013
variant_b,17,10017,0.0,0.0,200,0.0,1.5811388300841898,-2.0000000000000013
variant_b,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_b,19,10019,0.0,0.0,200,0.0,1.25,-2.0000000000000013
variant_b,20,10020,0.0,0.0,200,0.5,2.0,-1.5198321937663128
variant_b,21,10021,0.0,0.0,200,2.2499993631875457,2.8658900830106457,0.24290000066451878
variant_b,22,10022,1.0,0.5000001357784563,6,0.9999997284431612,0.5,10.825966881910071
variant_b,23,10023,0.0,0.0,200,0.0,2.3136478027815093,-2.0000000000000013
variant_b,24,10024,0.0,0.0,200,0.0,1.25,-2.0000000000000013
