variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
variant_a,0,10000,1.0,0.6999999752457043,18,2.500000088408202,1.75,12.09404600382599
variant_a,1,10001,1.0,0.5150785212800798,11,1.7500007894444067,0.9013878188659973,11.546122198716878
variant_a,2,10002,1.0,0.7985953931064674,15,3.500001372412251,2.7950849718747373,13.259412856536654
variant_a,3,10003,1.0,0.5000001529848441,13,1.4999995410456082,0.75,11.26464268126336
variant_a,4,10004,1.0,0.4999999528679228,15,1.500000141396245,0.75,11.188232910041647
variant_a,5,10005,1.0,0.6555544816291924,13,2.7500012405554966,1.8027756377319946,12.270955325739113
variant_a,6,10006,1.0,0.6000001257683466,9,1.2499997379826662,0.75,11.159317283394502
variant_a,7,10007,1.0,0.8818124956651174,19,3.249999401345537,2.8658900830106457,13.04254691026654
variant_a,8,10008,1.0,0.6249998148415129,9,2.0000005925073343,1.25,11.897974689334868
variant_a,9,10009,1.0,0.6388766913794676,99,1.7499996538233804,1.118033988749895,10.636912027494
variant_a,10,10010,1.0,0.7142854841270694,12,1.7500005638888618,1.25,11.470046075397493
variant_a,11,10011,1.0,1.0,11,0.5000001223172632,0.0,10.306665269136259
variant_a,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_a,13,10013,1.0,1.0,3,0.24999990630122346,0.0,10.21432689141664
variant_a,14,10014,1.0,0.7777778683516814,13,2.2499997379826664,1.75,12.028897412002364
variant_a,15,10015,1.0,0.5590168629528582,14,2.000000470190071,1.118033988749895,11.385676468497858
variant_a,16,10016,1.0,0.75,15,2.0,1.5,11.847441698101672
variant_a,17,10017,1.0,0.7027281898310762,56,2.250000573428353,1.5811388300841898,11.090515351570799
variant_a,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_a,19,10019,1.0,0.7142857142857143,9,1.75,1.25,11.627032664505341
variant_a,20,10020,1.0,0.6666666666666666,18,3.0,2.0,12.47127782285024
variant_a,21,10021,1.0,0.8818124956651174,16,3.249999401345537,2.8658900830106457,13.07254691026654
variant_a,22,10022,1.0,0.5000001357784563,5,0.9999997284431612,0.5,10.835966881910071
variant_a,23,10023,1.0,0.8413264936491975,43,2.749999934919696,2.3136478027815093,12.042850837425325
variant_a,24,10024,1.0,0.6249998843562975,15,2.0000003700599165,1.25,11.820365031225851
variant_b,0,10000,1.0,0.6999999973289426,17,2.500000009539491,1.75,12.202561858837175
variant_b,1,10001,0.0,0.0,200,3.500000282792504,0.9013878188659973,-2.82925240745603
variant_b,2,10002,1.0,0.7985953931064674,20,3.500001372412251,2.7950849718747373,13.209412856536655
variant_b,3,10003,1.0,0.23076919331879378,38,3.250000527427073,0.75,11.011730709035916
variant_b,4,10004,1.0,0.25000000925679783,50,2.9999998889184303,0.75,10.780083471782305
variant_b,5,10005,1.0,0.7211100489059176,19,2.5000007148245977,1.8027756377319946,12.170984301637036
variant_b,6,10006,1.0,0.3749999387950969,18,2.000000326426203,0.75,11.174553539062002
variant_b,7,10007,1.0,0.8188255443853351,33,3.5000008276023844,2.8658900830106457,12.922435089095696
variant_b,8,10008,1.0,0.4999999904605093,13,2.5000000476974544,1.25,11.900656673864752
variant_b,9,10009,1.0,0.6388766536900156,96,1.749999757061662,1.118033988749895,10.581594589966429
variant_b,10,10010,0.0,0.0,200,4.500000225555545,1.25,-0.5010807705891941
variant_b,11,10011,1.0,1.0,37,0.750000338333317,0.0,10.103029892951927
variant_b,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_b,13,10013,1.0,1.0,2,0.24999990630122346,0.0,10.22432689141664
variant_b,14,10014,1.0,0.7000000733648611,16,2.4999997379826664,1.75,12.215529198226331
variant_b,15,10015,1.0,0.4472136003159652,77,2.4999999730777014,1.118033988749895,10.680643215188457
variant_b,16,10016,1.0,0.6666665998354008,23,2.250000225555545,1.5,11.73116938075388
variant_b,17,10017,1.0,0.7027282543185731,30,2.2500003669518036,1.5811388300841898,11.42876905640879
variant_b,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_b,19,10019,1.0,0.6249998883086721,196,2.000000357412313,1.25,9.689273906940564
variant_b,20,10020,1.0,0.6666667404705316,17,2.999999667882644,2.0,12.550684875653204
variant_b,21,10021,1.0,0.7164724043716973,31,4.000000649744294,2.8658900830106457,12.918201564970516
variant_b,22,10022,0.0,0.0,200,5.750001578888812,0.5,-3.031697347180172
variant_b,23,10023,1.0,0.7712159269034959,35,3.000000028618472,2.3136478027815093,12.200589821491969
variant_b,24,10024,1.0,0.6249998148415129,20,2.0000005925073343,1.25,11.787974689334868
